,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
172,Bar 500 Eatery,4.1,18,Tapas/Small Plates,victoria,BC,"500 Oswego Street Victoria, BC V8V 5C1 Canada",48.4207314,-123.3759507,BC,25
173,Sookjai Thai Restaurant,4.1,41,Thai,victoria,BC,"893 Fort Street Victoria, BC V8W 1H7 Canada",48.4239609,-123.360217,BC,25
174,Sushi Matsuri,4.5,32,Sushi Bars,victoria,BC,"239 Menzies Street Victoria, BC V8V 2G6 Canada",48.4163231,-123.3730101,BC,25
175,Tacofino,4.1,116,Mexican,victoria,BC,"760 Pandora Avenue Victoria, BC V8W 1N9 Canada",48.4280293,-123.3628808,BC,25
176,Cactus Club Cafe,4.0,116,Canadian (New),victoria,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada",49.2894022,-123.1180433,BC,25
177,Cactus Club Cafe,4.0,116,Canadian (New),victoria,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada",48.424893,-123.364927,BC,25
178,Yalla Middle Eastern Cuisine,4.5,40,Food Stands,victoria,BC,"1011 Blanshard Street Victoria, BC V8W 2X9 Canada",48.4238548,-123.3622815,BC,10
179,The Ruby,4.2,57,Breakfast & Brunch,victoria,BC,"642 Johnson St Victoria, BC V8W 1M6 Canada",48.4275172,-123.3656961,BC,25
180,The Ruby,4.2,57,Breakfast & Brunch,victoria,BC,"3110 Douglas Street Victoria, BC V8Z 3K4 Canada",48.4460473,-123.3717578,BC,25
181,Dumpling Drop,4.0,19,Dumplings,victoria,BC,"556a Pandora Ave Pandora St. Victoria, BC V8W 1N7 Canada",48.4287317,-123.3675159,BC,10
182,Part and Parcel,4.6,63,Canadian (New),victoria,BC,"2656 Quadra Street Victoria, BC V8T 4E4 Canada",48.4390886,-123.3593378,BC,25
183,Cafe Brio,4.3,111,Italian,victoria,BC,"944 Fort Street Victoria, BC V8V 3K2 Canada",48.42405,-123.3576042,BC,45
184,Beijing Bistro,3.9,28,Chinese,victoria,BC,"769 Fort Street Victoria, BC V8W 1G9 Canada",48.424312,-123.3634765,BC,25
185,Bin 4 Burger Lounge,3.9,155,Burgers,victoria,BC,"911 Yates Street Suite 180 Victoria, BC V8V 4X3 Canada",48.42504,-123.35766,BC,25
186,The Mint,3.6,105,Asian Fusion,victoria,BC,"1414 Douglas Street Victoria, BC V8W 2G1 Canada",48.4275599,-123.364849,BC,25
187,Legislative Dining Room,4.6,27,Breakfast & Brunch,victoria,BC,"614 Government Street Victoria, BC V8V 2H4 Canada",48.4190854,-123.3692445,BC,25
188,Perro Negro,4.7,18,Tapas/Small Plates,victoria,BC,"536 Yates Street Victoria, BC V8W 1K8 Canada",48.4270046,-123.3690454,BC,45
189,Cenote Restaurant and Lounge,3.9,23,Lounges,victoria,BC,"768 Yates Street Victoria, BC V8W 3Z1 Canada",48.4263364,-123.362825,BC,25
190,Ayo Eat,4.6,47,Indonesian,victoria,BC,"Market Square 140-156 Johnson Street Victoria, BC V8W 3C6 Canada",48.4279327,-123.368928,BC,10
191,Tibetan Kitchen,4.2,52,Himalayan/Nepalese,victoria,BC,"680 Broughton Street Victoria, BC V8W 1C9 Canada",48.4242226,-123.3660772,BC,25
192,Lido Waterfront Bar & Bistro,3.8,36,Seafood,victoria,BC,"1234 S Wharf Street Victoria, BC V8W 3H9 Canada",48.4265941,-123.3709204,BC,25
193,Sult Pierogi Bar,4.2,99,Polish,victoria,BC,"609 Yates St Victoria, BC V8W 1L1 Canada",48.42642619999999,-123.3669085,BC,25
194,The Tapa Bar,3.9,211,Tapas Bars,victoria,BC,"620 Trounce Alley Victoria, BC V8W 1K3 Canada",48.42600900000001,-123.366604,BC,25
195,Fuego Old Town Eatery,4.4,76,Breakfast & Brunch,victoria,BC,"Market Square 1435 Store Street Victoria, BC V8W 3C6 Canada",48.428156,-123.369395,BC,25
196,Irish Times Pub,4.0,436,Irish Pub,victoria,BC,"1200 Government Street Victoria, BC V8W 1Y3 Canada",48.42585649999999,-123.3679504,BC,25
197,Moxies,3.9,40,Canadian (New),victoria,BC,"1010 Yates Street Suite 1 Victoria, BC V8V 3M6 Canada",48.4255311,-123.3559586,BC,25
198,Heron Rock Bistro,4.3,104,Breakfast & Brunch,victoria,BC,"435 Simcoe Street Victoria, BC V8V 4T4 Canada",48.4156474,-123.3753358,BC,25
199,Jones Bar B Que,3.9,61,Barbeque,victoria,BC,"1725 Cook Street Victoria, BC V8T 3P4 Canada",48.4291674,-123.3525717,BC,25
200,Be Love,4.1,143,Vegan,victoria,BC,"1019 Blanshard Street Victoria, BC V8W 2H4 Canada",48.4240131,-123.362368,BC,25
201,Clarke&Co,4.0,41,Cocktail Bars,victoria,BC,"1002 Blanshard Street Victoria, BC V8W 1E1 Canada",48.423651,-123.3629409,BC,45
202,J & J Wonton Noodle House,3.7,72,Chinese,victoria,BC,"1012 Fort Street Victoria, BC V8V 3K4 Canada",48.4238736,-123.3561296,BC,25
203,Browns Socialhouse - Victoria Falls,3.3,87,Pubs,victoria,BC,"809 Douglas Street Victoria, BC V8W 2B9 Canada",48.4223422,-123.365555,BC,25
204,Fire & Water Fish and Chop House,3.7,34,Canadian (New),victoria,BC,"728 Humboldt Street Victoria, BC V8W 3Z5 Canada",48.42149209999999,-123.3646247,BC,25
205,The Drake Eatery,4.1,74,Tapas/Small Plates,victoria,BC,"517 Pandora Street Victoria, BC V8W 3C6 Canada",48.4283464,-123.3690416,BC,25
206,Saveur Restaurant,4.6,47,French,victoria,BC,"658 Herald Street Victoria, BC V8W 1S7 Canada",48.4304579,-123.3654207,BC,45
207,Gozen,4.2,66,Japanese,victoria,BC,"1005 Langley Street Victoria, BC V8W 1V7 Canada",48.42446169999999,-123.3685469,BC,25
208,Ghost Ramen,3.8,16,Ramen,victoria,BC,"1609 Store St Victoria, BC V8W 3K3 Canada",48.4287356,-123.3694214,BC,25
209,Yates Street Taphouse,3.4,47,Pubs,victoria,BC,"759 Yates Street Victoria, BC V8W 1L6 Canada",48.4259008,-123.3626286,BC,25
210,Pizzeria Prima Strada,4.2,179,Pizza,victoria,BC,"230 Cook Street Victoria, BC V8V 3X3 Canada",48.4140981,-123.3571555,BC,25
211,Messob Ethiopian Cuisine,4.8,12,Ethiopian,victoria,BC,"1109 McKenzie Avenue Victoria, BC V8V 2W1 Canada",48.4146606,-123.3556713,BC,10
212,Stage,4.2,59,Wine Bars,victoria,BC,"1307 Gladstone Avenue Victoria, BC V8R 1R9 Canada",48.4303865,-123.3449193,BC,45
213,My Thai Cafe,4.1,34,Thai,victoria,BC,"1020 Cook Street Victoria, BC V8V 3Z5 Canada",48.4226833,-123.3545167,BC,25
214,"Sakura Sushi, Grocery and Japanese Restaurant",3.5,15,Japanese,victoria,BC,"1213 Quadra Street Victoria, BC V8W 2K6 Canada",48.42516390000001,-123.3591699,BC,10
215,Golden City Restaurant,3.7,99,Chinese,victoria,BC,"721 Fisgard Street Victoria, BC V8W 1R8 Canada",48.4293234,-123.3632914,BC,25
216,Sura Korean Cuisine,3.0,48,Korean,victoria,BC,"1518 Robson Street Vancouver, BC V6G 1C3 Canada",49.2888512,-123.1316371,BC,45
217,Sura Korean Cuisine,3.0,48,Korean,victoria,BC,"1696 Douglas Street Victoria, BC V8W 2G6 Canada",48.4292923,-123.3647259,BC,45
218,Sen Zushi,4.2,46,Japanese,victoria,BC,"940 Fort Street Victoria, BC V8V 3K2 Canada",48.4240859,-123.357857,BC,25
219,The Keg Steakhouse + Bar,4.1,146,Seafood,victoria,BC,"500 Fort Street Victoria, BC V8W 1E5 Canada",48.425239,-123.3695954,BC,45
220,Picnic Too,4.5,11,Coffee & Tea,victoria,BC,"1019 Fort Street Victoria, BC V8V 3K5 Canada",48.4234258,-123.3560499,BC,25
221,Kuma Noodles Japan,4.1,36,Ramen,victoria,BC,"1551 Cedar Hill Cross Road Suite 215 Victoria, BC V8P 2P2 Canada",48.4614663,-123.3347743,BC,10
222,Milestones,3.5,184,Canadian (New),victoria,BC,"812 Wharf St Victoria, BC V8W 1T3 Canada",48.4228659,-123.3689381,BC,25
223,Steamship Grill & Taphouse,3.2,150,Seafood,victoria,BC,"470 Belleville Street Victoria, BC V8V 1W9 Canada",48.421105,-123.3713739,BC,25
224,Interactivity Board Game Cafe,4.3,36,Tabletop Games,victoria,BC,"723 Yates Street Victoria, BC V8W 1L6 Canada",48.4260256,-123.3638628,BC,10
225,Ramen Arashi,5.0,3,Ramen,victoria,BC,"2950 Douglas Street Unit 222 Victoria, BC V8T 4N4 Canada",48.4427341,-123.370132,BC,25
226,Oak Bay Seafood,3.9,18,Seafood Markets,victoria,BC,"2024 Oak Bay Avenue Victoria, BC V8R 1E4 Canada",48.4267401,-123.3215821,BC,25
227,Le Petit Saigon Vietnamese Restaurant,4.2,80,Vietnamese,victoria,BC,"1010 Langley Street Victoria, BC V8W 1V8 Canada",48.4246551,-123.3690014,BC,25
228,Earls Kitchen + Bar,3.9,147,Canadian (New),victoria,BC,"1199 Government Street #100 - Bay Center Victoria Victoria, BC V8W 3M9 Canada",48.4252022,-123.3665039,BC,25
229,Varsha Indian Kitchen,3.8,116,Gluten-Free,victoria,BC,"1600 Government Street Suite 101 Victoria, BC V8W 1Z3 Canada",48.42878,-123.36736,BC,25
230,Bangkok Modern Thai Cuisine,4.0,21,Thai,victoria,BC,"1813 Douglas Street Victoria, BC V8T 4K5 Canada",48.4307075,-123.3641706,BC,25
231,Brickyard Pizza,3.1,36,Pizza,victoria,BC,"784 Yates Street Victoria, BC V8W 1L4 Canada",48.42630579999999,-123.3625037,BC,10
232,Sushi Time Express,4.6,21,Japanese,victoria,BC,"120 - 735 Yates Street Victoria, BC V8W 1L6 Canada",48.4258434,-123.3636376,BC,10
233,Menbow Ramen Bar,3.7,66,Ramen,victoria,BC,"1018 Blanshard Street Victoria, BC V8W 2H5 Canada",48.423894,-123.362935,BC,25
234,LURE Restaurant & Bar,3.5,64,Seafood,victoria,BC,"100 Harbour Road Victoria, BC V9A 0G1 Canada",48.4268102,-123.3752044,BC,25
235,Victoria Harbour House Restaurant,3.3,82,Steakhouses,victoria,BC,"607 Oswego St Victoria, BC V8V 4W9 Canada",48.4211323,-123.3744302,BC,45
236,La Taqueria,3.7,56,Mexican,victoria,BC,"766 Fort Street Victoria, BC V8W 1H2 Canada",48.42454439999999,-123.3632873,BC,25
237,The Old Spaghetti Factory,3.2,128,Italian,victoria,BC,"703 Douglas Street Victoria, BC V8W 2B4 Canada",48.4203731,-123.3661269,BC,25
238,The Bent Mast,3.4,45,Pubs,victoria,BC,"512 Simcoe Street Victoria, BC V8V 1L8 Canada",48.4152902,-123.3734114,BC,25
239,The Oaks Restaurant,3.5,26,Breakfast & Brunch,victoria,BC,"206-2250 Oak Bay Avenue Victoria, BC V8R 1G5 Canada",48.4266646,-123.3146396,BC,25
240,Omakase Izakaya & Sushi Bar,3.5,35,Japanese,victoria,BC,"990 Blanshard Street Victoria, BC V8W 2H3 Canada",48.4234351,-123.3629505,BC,25
241,Island Poké,4.1,27,Poke,victoria,BC,"1674 Douglas Street Victoria, BC V8W 2G6 Canada",48.4290536,-123.3648556,BC,25
242,Hope Key,4.2,50,Chinese,victoria,BC,"1313 Douglas Street Victoria, BC V8W 2E9 Canada",48.4267034,-123.3645897,BC,25
243,The Flying Otter,3.7,195,Seafood,victoria,BC,"950 Wharf Street Victoria, BC V8W 1C6 Canada",48.4237828,-123.3712407,BC,25
244,Topos Ristorante Italiano,4.3,3,Italian,victoria,BC,"1218 Wharf St Victoria, BC V8W 1T8 Canada",48.426445,-123.370475,BC,45
245,Roast,4.0,41,Sandwiches,victoria,BC,"1701 Douglas Street Unit 6 Victoria, BC V8W 0C1 Canada",48.4298795,-123.3640647,BC,25
246,Crooked Goose Bistro,3.7,46,Canadian (New),victoria,BC,"4136 Wilkinson Road Victoria, BC V8Z 5A7 Canada",48.4787427,-123.4113383,BC,25
247,Italian Food Imports,4.2,37,Delis,victoria,BC,"1114 Blanshard Street Victoria, BC V8W 2H6 Canada",48.4247916,-123.3625978,BC,10
248,La Taquisa,3.6,71,Mexican,victoria,BC,"1017 Blanshard Street Victoria, BC V8W 2H4 Canada",48.4239623,-123.3623852,BC,10
249,The Local,3.6,150,Burgers,victoria,BC,"1205 Wharf Street Victoria, BC V8W 3H9 Canada",48.42606199999999,-123.369869,BC,25
250,Thai Green Elephant Restaurant,4.1,31,Thai,victoria,BC,"809 Craigflower Road Victoria, BC V9A 2W8 Canada",48.4393771,-123.3933097,BC,25
251,Hecklers Bar & Grill,3.8,28,Comedy Clubs,victoria,BC,"123 Gorge Road E Victoria, BC V9A 1L1 Canada",48.4427029,-123.3861166,BC,25
252,QV Cafe & Bakery,3.9,65,Bakeries,victoria,BC,"1701 Government Street Victoria, BC V8W 1Z4 Canada",48.4295811,-123.3666938,BC,10
253,CRAFT Beer Market - Victoria,2.8,13,"Beer, Wine & Spirits",victoria,BC,"450 Swift Street Victoria, BC V8W 1S3 Canada",48.42964620000001,-123.3713537,BC,25
254,ReBar Modern Food,4.0,272,Vegan,victoria,BC,"50 Bastion Square Victoria, BC V8W 1J2 Canada",48.4258871,-123.3680068,BC,25
255,Siam Thai Restaurant,3.8,51,Thai,victoria,BC,"512 Fort Street Victoria, BC V8W 1E6 Canada",48.4251114,-123.3690001,BC,25
256,Fan Tan Cafe,3.4,84,Chinese,victoria,BC,"549 Fisgard Street Victoria, BC V8W 1R5 Canada",48.429243,-123.3678711,BC,25
257,5th Street Bar & Woodfire Grill,3.5,80,American (Traditional),victoria,BC,"1028 Hillside Avenue Victoria, BC V8T 2A3 Canada",48.4397884,-123.3582633,BC,25
258,Tre Fantastico,3.1,43,Cafes,victoria,BC,"810 Humboldt Street Victoria, BC V8T 5B1 Canada",48.420397,-123.3630542,BC,25
259,Chicken On the Run,3.9,20,Chicken Wings,victoria,BC,"405 Craigflower Road Victoria, BC V9A 2V7 Canada",48.4363061,-123.3874257,BC,25
260,10 Acres Kitchen,3.5,69,Bars,victoria,BC,"614 Humboldt Street Victoria, BC V8W 1A4 Canada",48.4229949,-123.3679192,BC,45
261,Rise & Grind,4.1,17,Coffee & Tea,victoria,BC,"1294 Broad Street Victoria, BC V8W 2A5 Canada",48.426279,-123.366511,BC,25
262,The Ruby,4.3,138,Breakfast & Brunch,victoria,BC,"642 Johnson St Victoria, BC V8W 1M6 Canada",48.4275172,-123.3656961,BC,25
263,The Ruby,4.3,138,Breakfast & Brunch,victoria,BC,"3110 Douglas Street Victoria, BC V8Z 3K4 Canada",48.4460473,-123.3717578,BC,25
264,Wah Lai Yuen,3.4,60,Chinese,victoria,BC,"560 Fisgard Street Victoria, BC V8W 1R4 Canada",48.42950339999999,-123.3675693,BC,25
265,JBI Café Restaurant,3.6,10,Cafes,victoria,BC,"270 Government Street Victoria, BC V8V 2L2 Canada",48.4153947,-123.3694605,BC,25
266,The Sticky Wicket,2.8,174,British,victoria,BC,"The Strathcona Hotel 919 Douglas Street Victoria, BC V8W 2C2 Canada",48.42346819999999,-123.3654445,BC,25
267,La Belle Patate,3.9,68,Fast Food,victoria,BC,"1215 Davie Street Vancouver, BC V6E 1N4 Canada",49.2820333,-123.1335487,BC,10
268,La Belle Patate,3.9,68,Fast Food,victoria,BC,"1215 Esquimalt Road Victoria, BC V9A 3P1 Canada",48.4300048,-123.4132095,BC,10
269,Superior Pizza,3.8,22,Pizza,victoria,BC,"455 Simcoe Street Victoria, BC V8V 4T3 Canada",48.4155363,-123.3748544,BC,25
270,Vista 18,3.5,96,Wine Bars,victoria,BC,"740 Burdett Avenue 18th Floor Victoria, BC V8W 1B2 Canada",48.4221151,-123.3646121,BC,25
271,Avalon Restaurant,4.1,33,Breakfast & Brunch,victoria,BC,"1075 Fort Street Victoria, BC V8V 3K5 Canada",48.4233708,-123.3548685,BC,25
272,The Tartan Toque,3.6,38,Canadian (New),victoria,BC,"1507 Pandora Avenue Victoria, BC V8R 6P9 Canada",48.42598,-123.339,BC,25
273,Vis-à-Vis,4.1,39,Wine Bars,victoria,BC,"2232 Oak Bay Avenue Victoria, BC V8R 1G5 Canada",48.4266254,-123.3149281,BC,25
274,Ebizo Japanese Restaurant,3.8,109,Japanese,victoria,BC,"604 Broughton Street Victoria, BC V8W 1C7 Canada",48.4242474,-123.3675773,BC,25
275,Hot and Cold Cafe,4.7,24,Soup,victoria,BC,"313 Cook Street Victoria, BC V8V Canada",48.4144169,-123.3561763,BC,25
276,Baan Thai Restaurant,3.8,30,Thai,victoria,BC,"1117 Blanshard St Victoria, BC V8W 2H7 Canada",48.4247323,-123.3621701,BC,25
277,Baan Thai Restaurant,3.8,30,Thai,victoria,BC,"2000 Cadboro Bay Road Unit 104 Oak Bay, BC V8R 5G5 Canada",48.4325966,-123.3215758,BC,25
278,Sizzling Tandoor,4.0,108,Indian,victoria,BC,"637 Johnson Street Victoria, BC V8W 1M7 Canada",48.427039,-123.3656218,BC,25
279,Cafe Mexico,3.3,78,Mexican,victoria,BC,"1425 Store Street Victoria, BC V8W 3C6 Canada",48.4280603,-123.3688021,BC,25
280,Water Prince Corner Shop,4.2,211,Seafood,charlottetown,PEI,"141 Water Street Charlottetown, PE C1A 1A8 Canada",46.2339164,-63.12222449999999,PE,25
281,Claddagh Oyster House,4.4,71,Seafood,charlottetown,PEI,"131 Sydney Street Charlottetown, PE C1A 1G5 Canada",46.233763,-63.12606499999999,PE,45
282,Hopyard,4.4,50,Beer Bar,charlottetown,PEI,"151 Kent Street Charlottetown, PE C1A 1N5 Canada",46.2365678,-63.1276157,PE,25
283,The Gahan House,4.0,190,Breweries,charlottetown,PEI,"126 Sydney Street Charlottetown, PE C1A 1G4 Canada",46.2334763,-63.12592710000001,PE,25
284,The Brickhouse Kitchen & Bar,3.9,78,Seafood,charlottetown,PEI,"125 Sydney Street Charlottetown, PE C1A 4K4 Canada",46.2336031,-63.1262273,PE,25
285,The Pilot House,4.1,46,Seafood,charlottetown,PEI,"70 Grafton St Charlottetown, PE C1A 1K7 Canada",46.23378150000001,-63.1285997,PE,25
286,Himalayan Indian Cuisine,4.5,23,Himalayan/Nepalese,charlottetown,PEI,"39 Eden Street Unit 5 Charlottetown, PE C1A 4N4 Canada",46.2439112,-63.13526340000001,PE,25
287,Himalayan Indian Cuisine,4.5,23,Himalayan/Nepalese,charlottetown,PEI,"138 Great George Street Charlottetown, PE C1A 4K6 Canada",46.2359417,-63.1268425,PE,25
288,Sims Corner Steakhouse & Oyster Bar,4.2,85,Steakhouses,charlottetown,PEI,"86 Queen Street Charlottetown, PE C1A 4A7 Canada",46.233264,-63.12622,PE,45
289,Brakish,4.1,39,Seafood,charlottetown,PEI,"2 Lower Water Street Charlottetown, PE C1A 4A2 Canada",46.23211,-63.1234,PE,25
290,John Brown Richmond Street Grille,4.1,56,American (Traditional),charlottetown,PEI,"132 Richmond Street Charlottetown, PE C1A 1H9 Canada",46.23389,-63.12656699999999,PE,25
291,The Chip Shack,4.2,62,Seafood,charlottetown,PEI,"2 Great George Street Charlottetown, PE C1A 4K6 Canada",46.2325652,-63.1226719,PE,25
292,Row House Lobster,3.8,49,Seafood,charlottetown,PEI,"146 Richmond Street Charlottetown, PE C1A Canada",46.23406869999999,-63.1261798,PE,25
293,Famous Peppers,4.3,30,Pizza,charlottetown,PEI,"7 St Peters Road Charlottetown, PE C1A 5N1 Canada",46.2466838,-63.12365740000001,PE,25
294,Piatto Pizzeria + Enoteca,4.6,33,Pizza,charlottetown,PEI,"45 Queen Street Charlottetown, PE C1A 4A4 Canada",46.2322303,-63.12564820000001,PE,25
295,Churchill Arms,4.2,43,British,charlottetown,PEI,"75 Queen Street Charlottetown, PE C1A 4A8 Canada",46.2329042,-63.1264838,PE,25
296,Splendid Essence,4.5,35,Vegetarian,charlottetown,PEI,"186 Prince Street Charlottetown, PE C1A 1P1 Canada",46.23761640000001,-63.126296,PE,25
297,The Old Triangle,4.1,33,Irish,charlottetown,PEI,"189 Great George Street Charlottetown, PE C1A 4L1 Canada",46.2367858,-63.12878519999999,PE,25
298,Seoul Food,3.7,7,Korean,charlottetown,PEI,"330 University Avenue Charlottetown, PE C1A 4M4 Canada",46.2422178,-63.13206729999999,PE,25
299,Merchantman,3.6,62,Seafood,charlottetown,PEI,"23 Queen Street Charlottetown, PE C1A 4A2 Canada",46.231719,-63.12484299999999,PE,25
300,Receiver Coffee,4.4,83,Cafes,charlottetown,PEI,"128 Richmond Street Charlottetown, PE C1A 1H7 Canada",46.233818,-63.12667399999999,PE,25
301,Receiver Coffee,4.4,83,Cafes,charlottetown,PEI,"178 Water Street Charlottetown, PE C1A 8W1 Canada",46.23421279999999,-63.1206954,PE,25
302,Silver Streams Restaurant,3.7,7,Chinese,charlottetown,PEI,"7 St. Peters Road Charlottetown, PE C1A 5N3 Canada",46.2466838,-63.12365740000001,PE,25
303,The Kettleblack,4.1,21,Breakfast & Brunch,charlottetown,PEI,"45 Queen Street Charlottetown, PE C1A 4A4 Canada",46.2322303,-63.12564820000001,PE,10
304,The Noodle House,3.5,13,Chinese,charlottetown,PEI,"188 Great George Street Charlottetown, PE C1A 2P7 Canada",46.23749129999999,-63.12902189999999,PE,25
305,Brits Fish and Chips,4.2,45,Fish & Chips,charlottetown,PEI,"141 Great George Street Charllottetown, PE C1B 4K7 Canada",46.2356807,-63.12746549999999,PE,25
306,Olde Dublin Pub,3.9,49,Seafood,charlottetown,PEI,"131 Sydney Street Charlottetown, PE C1A 1G5 Canada",46.233763,-63.12606499999999,PE,25
307,Taco Boyz,3.4,10,Mexican,charlottetown,PEI,"393  University Ave Charlottetown, PE C1A 4N4 Canada",46.24473829999999,-63.1348772,PE,10
308,Taco Boyz,3.4,10,Mexican,charlottetown,PEI,"201 Buchanan Dr Charlottetown, PE C1E 2E4 Canada",46.2648907,-63.1491318,PE,10
309,Lobster On The Wharf,2.6,71,Seafood,charlottetown,PEI,"2 Prince Street Charlottetown, PE C1A 8C1 Canada",46.2326716,-63.12023249999999,PE,45
310,The Factory Downtown,3.4,7,Bars,charlottetown,PEI,"189 Kent St. Charlottetown, PE C1A 1P1 Canada",46.23752529999999,-63.12599789999999,PE,25
311,China King Buffet Restaurant,2.9,8,Chinese,charlottetown,PEI,"660 University Avenue Charlottetown, PE C1E 1E5 Canada",46.26392329999999,-63.14601109999999,PE,25
312,Swiss Chalet Rotisserie & Grill,3.3,3,American (Traditional),charlottetown,PEI,"359 University Avenue Charlottetown, PE C1A 4M9 Canada",46.2431486,-63.1338387,PE,25
313,Redwater Rustic Grille,3.4,14,Canadian (New),charlottetown,PEI,"123 Grafton Street Charlottetown, PE C1A 4K6 Canada",46.2351606,-63.1274806,PE,25
314,Fishbones,3.0,35,Seafood,charlottetown,PEI,"136 Richmond Street Charlottetown, PE C1A 1H9 Canada",46.234003,-63.12635,PE,25
315,Casa Mia Cafe,3.4,52,Cafes,charlottetown,PEI,"131 Queen Street Charlottetown, PE C1A 4B3 Canada",46.234036,-63.12782199999999,PE,25
316,Ta Ke Sushi,3.7,28,Sushi Bars,charlottetown,PEI,"92 Queen St Charlottetown, PE C1A 4B1 Canada",46.2334801,-63.1263985,PE,25
317,Water Street Fish & Chips,3.8,26,Fish & Chips,charlottetown,PEI,"73 Water Street Charlottetown, PE C1A 4J7 Canada",46.232349,-63.12475010000001,PE,25
318,Selkirk Dining Room,5.0,1,Canadian (New),charlottetown,PEI,"18 Queen Street Charlottetown, PE C1A 4A1 Canada",46.2320126,-63.1239944,PE,45
319,Pho Vietnam Restaurant,2.0,17,Vietnamese,charlottetown,PEI,"123 Queen Street Charlottetown, PE C1A 4B3 Canada",46.2337911,-63.1276849,PE,25
320,Canton Cafe,3.3,12,Chinese,charlottetown,PEI,"73 Queen Street Charlottetown, PE C1A 4A8 Canada",46.2328331,-63.1263619,PE,25
321,DQ Grill & Chill Restaurant,2.6,5,Fast Food,charlottetown,PEI,"365 University Ave Charlottetown, PE C1A 4N2 Canada",46.2436888,-63.1340666,PE,25
322,Boom Burger,3.7,36,Burgers,charlottetown,PEI,"403 Capital Drive Charlottetown, PE C1E 1Z3 Canada",46.2582683,-63.1810195,PE,25
323,China Garden,1.9,19,Chinese,charlottetown,PEI,"96 Queen Street Charlottetown, PE C1A 4B1 Canada",46.233524,-63.12658299999999,PE,25
324,Boston Pizza,2.5,14,Pizza,charlottetown,PEI,"700 University Ave Charlottetown, PE C1E 1E3 Canada",46.2662792,-63.147374,PE,25
325,Kiwanis Dairy Bar,5.0,1,Ice Cream & Frozen Yogurt,charlottetown,PEI,"50 Park Roadway Charlottetown, PE C1A 1V1 Canada",46.2277825,-63.1389472,PE,10
326,Bamboo Garden Restaurant,2.0,2,Chinese,charlottetown,PEI,"25 Hopeton Road Stratford, PE C1B 1T6 Canada",46.2308878,-63.0990787,PE,25
327,Subway,3.5,4,Sandwiches,charlottetown,PEI,"685 University Avenue Charlottetown, PE C1E 1E5 Canada",46.2656196,-63.14839329999999,PE,10
328,Subway,3.5,4,Sandwiches,charlottetown,PEI,"101 Grafton Street Unit C Charlottetown, PE C1A 1K9 Canada",46.2347323,-63.128151,PE,10
329,A&W,2.7,3,Fast Food,charlottetown,PEI,"650 University Avenue Charlottetown, PE C1A 1E3 Canada",46.2635915,-63.145733,PE,25
330,RGE RD,4.4,172,Canadian (New),edmonton,AB,"10643 - 123 Street Edmonton, AB T5M 1Z1 Canada",53.5506791,-113.5338299,AB,45
331,Woodwork,4.2,172,Canadian (New),edmonton,AB,"10132-100 Street Edmonton, AB T5J 0N8 Canada",53.542023,-113.490727,AB,25
332,BaoBao,4.3,40,Noodles,edmonton,AB,"10544 Jasper Avenue Edmonton, AB T5J 1Z7 Canada",53.54136099999999,-113.502144,AB,25
333,Baijiu,4.4,52,Cocktail Bars,edmonton,AB,"103-10359 104 Street NW Edmonton, AB T5J 1B9 Canada",53.5459109,-113.4986901,AB,25
334,Otto Food and Drink,4.5,75,Gastropubs,edmonton,AB,"11405 95 Street NW Edmonton, AB T5G 1L3 Canada",53.5645034,-113.4869837,AB,25
335,Bundok,4.5,53,Canadian (New),edmonton,AB,"10228 104 Street NW Edmonton, AB T5J 1B8 Canada",53.5437016,-113.4994695,AB,50
336,Meat,4.1,475,Barbeque,edmonton,AB,"8216 104 Street Edmonton, AB T6E 4E6 Canada",53.5186535,-113.4978516,AB,25
337,Pip,4.3,172,Wine Bars,edmonton,AB,"10335 83 Avenue NW Edmonton, AB T6E 2C6 Canada",53.5189742,-113.4971528,AB,25
338,Blowers & Grafton,4.1,127,Canadian (New),edmonton,AB,"10550 82 Ave NW Edmonton, AB T6E 2A4 Canada",53.5183647,-113.5028093,AB,25
339,Cafe Amore Bistro,4.3,143,Cafes,edmonton,AB,"10807 106 Avenue NW Edmonton, AB T5H 4A7 Canada",53.5496651,-113.5069385,AB,25
340,Bodega Highlands,4.6,55,Tapas Bars,edmonton,AB,"6509 112th Avenue NW Edmonton, AB T5W 0P1 Canada",53.5646317,-113.4381206,AB,25
341,The Lunchbox Diner,4.5,17,Diners,edmonton,AB,"14413 115 Avenue NW Edmonton, AB T5M 3B8 Canada",53.5649987,-113.5701334,AB,25
342,El Mero Mero Taqueria,4.0,30,Mexican,edmonton,AB,"12223 156 Street NW Edmonton, AB T5V 1E6 Canada",53.57559,-113.58976,AB,25
343,Biera,3.9,79,Beer Bar,edmonton,AB,"9570 - 76th Avenue Edmonton, AB T6C 0K2 Canada",53.51262999999999,-113.476381,AB,25
344,Black Pearl Seafood Bar-Downtown,4.2,99,Seafood,edmonton,AB,"10132 104 Street Edmonton, AB T5J 1A7 Canada",53.54173979999999,-113.4995021,AB,45
