Restaurant Name,Rating,Category,Address
Fat Bastard Burrito (645 Lansdowne St.),4.4,Mexican,"645 Lansdowne Street West Peterborough, On K9j 7y5 Canada, 150A,"
Shoeless Joe's Sports Grill (Peterborough),4.1,Burgers,"1135 Lansdowne St W, Peterborough, ON K9J"
Tora Sushi,4.6,Japanese,"172 Charlotte Street, Peterborough, ON K9J"
Hunter Matsu Sushi,4.7,Japanese,"107 Hunter Street East, Peterborough, NAMER K9H"
Jeff Purvey's Fish & Chips (Rubidge St),4.1,Fish & chips,"124 Rubidge St, Peterborough, On K9J 3N4"
Ng Saigon Boys,4.8,Vietnamese,"1524 Lansdowne Street West, Peterborough, NAMER K9J 2A2"
RUSSS,New,Juice & Smoothies,"875 Chemong Road Peterborough, On K9h 5z5 Canada,"
Firehouse Subs (Lansdowne St),4.4,Sandwich,"999 Lansdowne St, 2, Peterborough, Ontario K9J 1Z9"
Canoe Co. Cafe,New,Coffee & tea,"290 Water St, Peterborough, NAMER K9J 3C7"
Chaska Obsession (Peterborough),3.7,Indian,"441 George St N, Peterborough, K9h 3r6,"
Dollarama (871 Chemong Road),New,Toys,"871 Chemong Road, Peterborough, NAMER K9H 5Z5"
Poco Burro Burritos,4.5,Mexican,"343 George Street North Peterborough, On K9h 3p9,"
Hockey Sushi,4.7,Japanese: Sushi,"1840 Landsdowne St W, Peterborough, ON K9K"
Mucho Burrito (867 Lansdowne St.),New,Fast Food,"867 Lansdowne Street, Peterborough, NAMER K9J 1Z7"
TOKYO SUSHI PETERBOROUGH,4.6,Sushi,"360 George St N, Peterborough, ON K9H"
El Camino's,4.7,Mexican,"360 George Street North, Unit 56, Peterborough, ON K9H 7E7"
Tapas & Tacos,New,Vegetarian,"376 George St N, Peterborough, NAMER K9H 3R3"
Chopstics,4,Asian,"550 Lansdowne Street West, Peterborough, K9j 8j8,"
