Restaurant Name,Rating,Category,Address
Beijing Bistro,4.6,Chinese,"769 Fort Street, Victoria, BC V8W"
Local Pizza,4.3,Pizza,"1483 Douglas Street, #105, Victoria, NAMER V8W 3K4"
Fonbo Restaurant,4.3,Chinese,"4458 West Saanich Rd, Victoria, NAMER V8Z 3E9"
Sarpino's Pizzeria (Downtown Victoria),4.8,Pizza,"1122 Blanshard Street, Victoria, BC V8W"
Bon Macaron Patisserie - Victoria,New,American,"1012 Broad St, Victoria, NAMER V8W 2A1"
Goodview Family Restaurant,4.2,Chinese,"310 Wale Rd, Victoria, NAMER V9B"
erito sushi,4.6,Sushi,"3531 Uptown Boulevard, Victoria, BC V8Z 0B9"
Tractor Foods (Victoria),4.6,Salads,"805 Government Street, Victoria, BC V8W"
Five Spice Indian Cuisine,New,Indian,"3431 Happy Valley Road, Victoria, BC V9C"
Hecklers Bar & Grill,4.6,Wings,"123 Gorge Rd E, Victoria, BC V9A 1L1"
Delicious Pizza & Pasta,4.7,Pizza,"3388 Douglas Street #6,, Victoria, NAMER V8Z"
The Tropical Island Restaurant,4.8,Asian,"3690 Shelbourne St #1, Victoria, BC V8P"
Vietnam Garden Restaurant,New,Vietnamese,"524 Admirals Road , Victoria, BC V9a2n4"
YUMMY TRUCK,New,Mediterranean,"675 Belleville St, Victoria, BC V8V"
Futaba,New,Japanese,"759 Yates St, 1 L4, Victoria, BC V8W 0E2"
