Restaurant Name,Rating,Category,Address
Chatham Street Diner,4.6,Breakfast & Brunch,"39 Chatham St E, Windsor, ON N9A"
Hurry Curry (Devonshire Mall),4.0,Indian,"3100 Howard Ave, Windsor, ON N8X 3Y4"
Cortina Gourmet market,4.3,American,"4310 Howard Avenue, Windsor, NAMER N9G 1P4"
House of Syrian Sweets,New,Breakfast and brunch,"2477 Dougall Avenue Sec. 2509 B Windsor, On N8x 1t3 Canada,"
Mr. Pretzels (Devonshire Mall),New,American,"3100 Howard Ave, Windsor, On N8X"
Pizzaway,New,Pizza,"2430 Dougall Avenue, Windsor, NAMER N8X 1T2"
Sam Street Food,New,Korean,"1030 Walker Road, At The City Market Windso, Windsor, ON N8Y"
The Patio Lounge - Windsor,New,Bar / Pub Food,"507 Ouellette Avenue, Windsor, ON N9A"
Little Foot Foods,New,European,"2010 Fasan Dr, Tecumseh, ON N0R 1L0"
Rexall Drug Store (5881 Malden Rd),New,Home & Personal Care,"La Salle, ON N9H 1S5"
Shell (3579 Tecumseh Rd E),3.5,Everyday Essentials,"3579 Tecumseh Rd E, Windsor, Ontario N8W"
The We Store (Tecumseh),New,Cannabis,"6050 Tecumseh Rd E, Windsor, ON N8T"
Ace convenience,New,Convenience,"1409 Wyandotte St E, Windsor, ON N9A 3L1"
00941 Petro-Canada (50 Tecumseh Road West),New,Everyday Essentials,"50 Tecumseh Road West, Windsor, ON N8X"
Bally's Kitchen,4.7,Vietnamese,"157 Erie Street East, Windsor, ON N9A"
NIK’S VARIETY,New,Convenience,"1402 Wyandotte St W, Windsor, ON N9B 1H4"
Windsor Café N Cuisine,New,Breakfast and brunch,"2475 Mcdougall Street Windsor, On N8x 3n9 Canada,"
The Body Shop (3100 Howard Ave),New,Personal care,"3100 Howard Ave, Windsor, NAMER N8X 3Y8"
Minh Hang Sandwich Shop,4.7,Asian,"1311 Ottawa Street, Windsor, ON N8X"
Sam's Pizzeria & Cantina,New,American,"2215 Wyandotte St W, Windsor, On N9B"
