restaurant_name,price_range,rating,total_reviews,location,province
The Parlour Italian Kitchen & Bar,$$,3.3,141,Edmonton,AB
Noi Thai,$$,4.5,60,Edmonton,AB
Pazzo Pazzo Italian Cuisine,$$,3.7,60,Edmonton,AB
Nuovo Bistro,$$,4.4,52,Edmonton,AB
Chop steakhouse,$$$,3.5,85,Edmonton,AB
Gravy- Burgers And Fries,$$,4,83,Edmonton,AB
Ikki Sake Bar,$$,3.6,27,Edmonton,AB
Malt & Mortar,$$,3.4,116,Edmonton,AB
El Mariachi,$$,3.8,38,Edmonton,AB
The Marc,$$$,4.2,143,Edmonton,AB
Ten Foot Henry,$$$,4.6,532,Calgary,AB
The Porch,$$,4.7,31,Calgary,AB
Calan Beef Noodle,$$,4.3,64,Calgary,AB
Hayden Block Smoke & Whiskey,$$,4.3,227,Calgary,AB
The Himalayan,$$,4.7,279,Calgary,AB
Maven,$$,4.5,27,Calgary,AB
Namsan Korean Cuisine,$$,4.7,22,Calgary,AB
Tokyo Street Market,$$,4.2,120,Calgary,AB
Model Milk,$$$,4,259,Calgary,AB
Khao San Thai Kitchen,$$,4.4,120,Calgary,AB
Native Tongues Taqueria,$$,4.1,448,Calgary,AB
Ke Charcoal Grill & Sushi,$$,4.4,86,Calgary,AB
Gyu-Kaku Japanese BBQ,$$,4.1,108,Calgary,AB
Donna Mac,$$,3.9,45,Calgary,AB
Cactus Club Cafe,$$$,4.4,223,Calgary,AB
El Furniture Warehouse,$,3.9,54,Calgary,AB
NOtaBLE The Restaurant,$$$,4,292,Calgary,AB
LOCAL Public Eatery,$$,3.9,125,Calgary,AB
The Eden,$$,4.8,26,Calgary,AB
The Holy Grill,$$,4.3,201,Calgary,AB
Shokunin,$$$,4.2,168,Calgary,AB
Bridgette Bar,$$$,4.4,107,Calgary,AB
Mamak Dang Fusion Malaysian Cuisine,$$,4.3,82,Calgary,AB
OEB Breakfast,$$,4.5,321,Calgary,AB
Charcut Roast House,$$$,4,362,Calgary,AB
Queens Breakfast Cocktails,$$,4.5,145,Calgary,AB
Blue Star Diner,$$,4.4,251,Calgary,AB
Wiener-Schnitzel Haus,$$,3.9,46,Calgary,AB
OEB Breakfast,$$,4.4,609,Calgary,AB
4th Spot Kitchen & Bar,$$,4,167,Calgary,AB
Smuggler’s Inn,$$,3.8,115,Calgary,AB
Garden of Italy,$$,4.6,60,Calgary,AB
N9NA,$$,4,139,Calgary,AB
Spot On Kitchen & Bar,$$,3.9,44,Calgary,AB
Rodney’s Oyster House Calgary,$$$,3.8,109,Calgary,AB
Minas Brazilian Steakhouse,$$$,3.8,121,Calgary,AB
The Captain’s Boil,$$$,3.4,48,Calgary,AB
The Wednesday Room,$$,4.1,38,Calgary,AB
Pigeonhole,$$,4,107,Calgary,AB
La Casa Latina Mexican & Latin Grill,$$,4.7,35,Calgary,AB
The Lake House,$$$,4.3,45,Calgary,AB
Fleur De Sel,$$$$,4,27,Calgary,AB
La Bodega,$$,4.3,61,Calgary,AB
Cassis Bistro,$$$,4.3,73,Calgary,AB
Great Taste Chinese Restaurant,$$,4,91,Calgary,AB
One18 Empire,$$,4.3,95,Calgary,AB
Brouhaha,$$,4.6,12,Calgary,AB
Molcajete,$$,4.9,7,Calgary,AB
Posto Pizzeria and Bar,$$,4.3,89,Calgary,AB
Holy Smoke BBQ,$$,3.9,79,Calgary,AB
Namo Café Bistro - Edmonton Trail,$$,4.5,81,Calgary,AB
Tamarind Vietnamese Grill & Noodle House,$$,4.4,94,Calgary,AB
Red’s Diner Kensington,$$,3.8,97,Calgary,AB
JOEY Eau Claire,$$,3.8,137,Calgary,AB
Menyatai Japanese Noodles,$$,3.9,103,Calgary,AB
Bennys Breakfast Bar,$$,4.1,121,Calgary,AB
OEB Breakfast,$$,3.9,129,Calgary,AB
Noodlebox,$$,4.2,47,Calgary,AB
900 Degree Pizza,$,4.5,17,Calgary,AB
UNA Pizza + Wine,$$,4.1,410,Calgary,AB
Banh Mi Thai Tai,$,3.9,55,Calgary,AB
Ikemen Ramen Bar,$$,3.7,102,Calgary,AB
Shawarma House,$,4.4,60,Calgary,AB
Las Canarias,$$,4,29,Calgary,AB
Tacos Mexico,$$,4.3,77,Calgary,AB
Dairy Lane Café,$$,4.2,244,Calgary,AB
Klein Harris,$$,4.5,68,Calgary,AB
Stone Bowl Korean Cuisine,$$,4.1,33,Calgary,AB
The CattleBaron Steakhouse & Bar,$$$,4.1,115,Calgary,AB
OMO Teppan and Kitchen,$$,4,56,Calgary,AB
White Elephant Thai Cuisine,$$,4.1,194,Calgary,AB
Big Catch Sushi,$$,4.7,106,Calgary,AB
Jonas Restaurant & Bar,$$,4.4,56,Calgary,AB
Kangnam Station,$$$,4.3,3,Calgary,AB
Alforno Bakery & Cafe,$$,3.8,190,Calgary,AB
Big T’s BBQ & Smokehouse,$$,3.5,150,Calgary,AB
Jackie’s Thai,$,4.1,32,Calgary,AB
Selkirk Grille,$$,4.1,24,Calgary,AB
Trolley 5,$$,3.9,124,Calgary,AB
OEB Breakfast,$$,3.4,26,Calgary,AB
Ship & Anchor Pub,$$,3.9,149,Calgary,AB
Anatolia,$,4.7,11,Calgary,AB
Ramen Ichinen,$$,4.5,63,Calgary,AB
Shibuya Izakaya,$$,4,84,Calgary,AB
San Dong Banjeom,$$,4.3,22,Calgary,AB
Last Best Brewing & Distilling,$$,4,123,Calgary,AB
Thi Thi Vietnamese Subs,$,4.3,148,Calgary,AB
Ogam Chicken,$$,4,69,Calgary,AB
Sso Yummy,$,4.7,25,Calgary,AB
Blue Flame Kitchen Café,$$,3.7,7,Calgary,AB
Juree’s Thai Place,$$,3.9,147,Calgary,AB
Sammy’s Chophouse,$,4,10,Calgary,AB
Paddy’s Barbecue & Brewery,$$,4.3,24,Calgary,AB
Cleaver,$$,3.4,162,Calgary,AB
Carino,$$$,4.6,36,Calgary,AB
Hdmona Restaurant,$$,4.5,11,Calgary,AB
Our Daily Brett Market & Cafe,$$,3.9,21,Calgary,AB
Empanada Queen,$,4.1,34,Calgary,AB
Sultan’s Tent,$$$,3.9,43,Calgary,AB
Red’s Diner Ramsay,$$,4.1,108,Calgary,AB
Pure Modern Asian Kitchen + Bar,$$,4.3,70,Calgary,AB
South Silk Road Chinese Restaurant,$$,4.2,39,Calgary,AB
Po-ke,$$,3.8,90,Calgary,AB
Centre Street Japanese Hotpot,$$,3.5,31,Calgary,AB
Han Corea,$$,4.2,73,Calgary,AB
The Coup,$$,4.3,271,Calgary,AB
Cactus Club Cafe,$$,4.1,98,Calgary,AB
Rouge,$$$$,4,70,Calgary,AB
BeeFun hot pot,$$,4,11,Calgary,AB
JINYA Ramen Bar - Calgary,$$,3.7,155,Calgary,AB
Buon Giorno Ristorante Italiano,$$,4,76,Calgary,AB
Donday,$$,3.5,31,Calgary,AB
Charbar,$$,3.4,187,Calgary,AB
Inglewood Drive In,$,4,42,Calgary,AB
Anatolia Turkish Food,$$,3.7,31,Calgary,AB
Pho Huong Viet Noodle House,$,3.9,97,Calgary,AB
Pegasus,$$,3.8,23,Calgary,AB
River Café,$$$,3.9,197,Calgary,AB
The Wilde on 27,$$$,3.9,10,Calgary,AB
Thai Bistro,$$,3.9,80,Calgary,AB
Red’s Diner 58th,$$,4.2,16,Calgary,AB
Han Corea,$$,4,2,Calgary,AB
Browns Socialhouse,$$,3.7,28,Calgary,AB
Beirut Bakery,$,4.5,15,Calgary,AB
Ssome,$,3.4,8,Calgary,AB
Cravings,$,4.3,3,Calgary,AB
Holy Grill,$$,4.5,23,Calgary,AB
Rocky Mountain BBQ Catering,$$,4.7,3,Calgary,AB
Big Rock Grill,$$,3.9,10,Calgary,AB
Around the Bend,$$,4.6,30,Calgary,AB
Buchanan’s Chop House Whisky Bar,$$$,4.1,33,Calgary,AB
Michael’s Pizza,$$,4.1,48,Calgary,AB
Cactus Club Cafe,$$,3.6,114,Calgary,AB
Pocket Dawg,$,4,5,Calgary,AB
Han’s Restaurant,$$,4.5,23,Calgary,AB
Soul Kitchen BBQ,$,4.5,15,Calgary,AB
Side Street Pub & Grill,$$,4.1,32,Calgary,AB
Madison’s 12|12,$$,3.7,59,Calgary,AB
Five Spice Kitchen,$,4.4,19,Calgary,AB
Moxies,$$,3.5,60,Calgary,AB
The Nash,$$$,3.9,144,Calgary,AB
Sushi Toki,$$,4,27,Calgary,AB
Samurai Ramen and Sushi,$$,4.3,40,Calgary,AB
Azzurri Pizzeria,$$,4.8,24,Calgary,AB
The Street Eatery,$$,3.4,41,Calgary,AB
Sushi Party,$,4.6,5,Calgary,AB
Dragon Dynasty Chinese Restaurant,$$,3.6,38,Calgary,AB
Sole Restaurant & Bar,$$,3.9,13,Calgary,AB
Salsita,$$,4,12,Calgary,AB
Omega Cafe,$,4.7,6,Calgary,AB
The Keg Steakhouse + Bar,$$$,3.9,94,Calgary,AB
Redheads Japa Cafe,$$,4.1,76,Calgary,AB
Añejo Restaurant,$$,3.7,209,Calgary,AB
Kingsmen Ale House,$$,4.8,15,Lethbridge,AB
Firestone Restaurant and Bar,$$,3.3,48,Lethbridge,AB
Telegraph Taphouse,$$,3.3,38,Lethbridge,AB
Miro Bistro,$$$,4.4,17,Lethbridge,AB
Two Guys & A Pizza Place,$$,4.1,61,Lethbridge,AB
Dylan’s Piggyback Poutinerie,$$,3.6,9,Lethbridge,AB
Sisters Pub & Grill,$$,4.4,8,Lethbridge,AB
Browns Socialhouse Lethbridge West,$$,3.6,30,Lethbridge,AB
Lighthouse Japanese Restaurant,$$,3.8,23,Lethbridge,AB
Thuan Hoa,$$,4,21,Lethbridge,AB
Cafe Verde,$$,3.6,28,Lethbridge,AB
Spring Rolls,$$,4.1,15,Lethbridge,AB
Imperial China,$$,3.4,12,Lethbridge,AB
Moxies,$$,3.6,25,Lethbridge,AB
Hudsons Canada’s Pub,$$,3.4,27,Lethbridge,AB
Whitbie’s Fish & Chips,$$,3.9,22,Lethbridge,AB
Dono Sushi,$$,4,27,Lethbridge,AB
Legendary Wing King,$$,4.3,7,Lethbridge,AB
Backstreet West Pub & Pizza,$$,3.8,9,Lethbridge,AB
Mojo’s Craft Pub & Grill,$$,2.7,12,Lethbridge,AB
Luigi’s Pizza & Steak House,$$,3.6,16,Lethbridge,AB
Luigi’s Steakhouse,$$,3.4,18,Lethbridge,AB
The Keg Steakhouse + Bar,$$,3.8,8,Lethbridge,AB
Makisu Sushi,$$,3.3,14,Lethbridge,AB
Browns Socialhouse Lethbridge South,$$$$,3.5,10,Lethbridge,AB
Streatside Eatery,$$,3.9,9,Lethbridge,AB
The Penny Coffee House,$$,4.1,25,Lethbridge,AB
The Slice Bar & Grill,$$,3.5,8,Lethbridge,AB
O-Sho,$$,3.2,12,Lethbridge,AB
Mediterranean Mazza bar,$$,3.5,4,Lethbridge,AB
Earls Kitchen + Bar,$$,3,11,Lethbridge,AB
Baadshah Royal East Indian Cuisine,$$,3.3,8,Lethbridge,AB
Montana’s,$$,1.5,32,Lethbridge,AB
Coyotés Grill and Wok,$$,3.7,3,Lethbridge,AB
Cora,$$,3.7,21,Lethbridge,AB
Broxburn Vegetables & Cafe,$$,4.1,9,Lethbridge,AB
Tony Roma’s,$$,2.5,15,Lethbridge,AB
Mimi’s Restaurant,$,2.8,5,Lethbridge,AB
Pizza Junction,$$,4.5,2,Lethbridge,AB
The Keg Steakhouse & Bar,$$$,3.5,6,Lethbridge,AB
Fatburger,$$,3.7,10,Lethbridge,AB
Top Pizza & Spaghetti House,$$,2.6,18,Lethbridge,AB
Nakagama’s Japanese Food & Giftware,$$,4,1,Lethbridge,AB
Original Joe’s,$$,3.3,6,Lethbridge,AB
Smitty’s,$$,3.4,5,Lethbridge,AB
Joey’s Seafood Restaurants,$$,2.9,9,Lethbridge,AB
Boston Pizza,$$,3,11,Lethbridge,AB
IHOP,$$,2.4,8,Lethbridge,AB
Dairy Queen Grill & Chill,$,1,1,Lethbridge,AB
McDonald’s,$,3,9,Lethbridge,AB
McDonald’s,$$,1.8,9,Lethbridge,AB
Swiss Chalet Rotisserie & Grill,$,1.6,8,Lethbridge,AB
Arby’s,$,3.5,2,Lethbridge,AB
West Lake Grill,$$$,4.5,25,Red-Deer,AB
Boulevard Restaurant & Lounge,$$,4.3,21,Red-Deer,AB
One Eleven Grill,$$$,3.7,60,Red-Deer,AB
Old Mexico Traditional Cuisine,$$,4,58,Red-Deer,AB
Rueon,$$,4.7,14,Red-Deer,AB
Browns Socialhouse Clearview,$$,3.6,34,Red-Deer,AB
Thap Ba Restaurant,$,4.6,29,Red-Deer,AB
State & Main Kitchen & Bar,$$,3.8,19,Red-Deer,AB
Blue Dragon Restaurant,$$,4,18,Red-Deer,AB
The Keg Steakhouse + Bar,$$$,3.6,21,Red-Deer,AB
Jose Jose Latin Restaurant,$$,4.5,26,Red-Deer,AB
Bo’s Bar and Grill,$$,4,28,Red-Deer,AB
Pink Bow Steak & Crepes,$$,4.2,13,Red-Deer,AB
Rusty Pelican,$$,2,17,Red-Deer,AB
It’s All Greek To Me,$$,3.6,18,Red-Deer,AB
JB’s Lounge,$,3.6,5,Red-Deer,AB
Hybrid 26,$,3,2,Red-Deer,AB
MR MIKES,$$,3.4,30,Red-Deer,AB
Shiso Japanese Restaurant,$$,3.9,44,Red-Deer,AB
Vietnamese Garden,$$,3.5,8,Red-Deer,AB
Famoso Neapolitan Pizzeria,$$,4.4,19,Red-Deer,AB
Momo Sushi,$$,4,33,Red-Deer,AB
Original Joe’s Restaurant & Bar,$$,3.6,31,Red-Deer,AB
Sushi Sushi Japanese Noodles & Sushi,$$,4.1,8,Red-Deer,AB
West 67 Lounge & Grill,$$,1.4,7,Red-Deer,AB
Kim’s Riverside Cafe,$$,4,3,Red-Deer,AB
Papa Baldy’s Pizza,$$,3.9,24,Red-Deer,AB
State & Main Kitchen & Bar,$$,2.6,9,Red-Deer,AB
The Donut Mill,$,4,133,Red-Deer,AB
Pho Thuy Duong Vietnamese Restaurant,$$,3.8,12,Red-Deer,AB
Addys Middle Eastern Cuisine,$$,4.6,18,Red-Deer,AB
Las Palmeras,$$,3.5,22,Red-Deer,AB
Queens Diner,$,3.6,5,Red-Deer,AB
Peters’ Drive-In,$$,2.4,79,Red-Deer,AB
Tandoor N Flame,$$,3.3,11,Red-Deer,AB
Toad ‘n’ Turtle,$$,2.6,19,Red-Deer,AB
Moxies,$$,2.5,28,Red-Deer,AB
Burger Boy,$,3.8,35,Red-Deer,AB
Albert’s Family Restaurant & Lounge,$$,4.5,6,Red-Deer,AB
Koryo Korean Bbq,$$,4.2,9,Red-Deer,AB
Phoenix Buffet,$$,3.2,19,Red-Deer,AB
