restaurant_name,address
Chilli Chutney Street Kitchen,"1663 Kenaston Boulevard Winnipeg, MB R3P 2M4 Canada"
Simon’s Steaks,"132-1 Forks Market Road Winnipeg, MB R3C 4L9 Canada"
Jane's,"504 Main Street Winnipeg, MB R3B 3P2 Canada"
New Golden Inn Restaurant,"1084 Pembina Hwy Winnipeg, MB R3T 1Z9 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Tipsy Cow,"285 Portage Avenue Winnipeg, MB R3B 2B4 Canada"
Capital Grill and Bar,"3116 Roblin Boulevard Winnipeg, MB R3R 0C1 Canada"
Kai Pho,"333 St.Mary Ave Ste 102G Winnipeg, MB R3C 4A5 Canada"
Sargent Taco Shop,"698 Sargent Avenue Winnipeg, MB R3E 0A9 Canada"
Inferno's Bistro,"312 Des Meurons Street Winnipeg, MB R2H 2N5 Canada"
The Oak & Grain Winnipeg,"1800 Wellington Avenue Winnipeg, MB R3H 1B2 Canada"
Cibo Waterfront Cafe,"339 Waterfront Drive Winnipeg, MB R3B 0G8 Canada"
529 Wellington,"529 Wellington Cresent Winnipeg, MB R3M 0A1 Canada"
Bistro Dansk,"63 Sherbrook St Winnipeg, MB R3C 2B2 Canada"
Capital Grill & Bar,"275 Broadway Avenue Winnipeg, MB R3C 4M6 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Kevin's Bistro,"141 Bannatyne Avenue Winnipeg, MB R3B 0R3 Canada"
La Fiesta Cafecito & Restaurant,"730 St Anne's Rd Unit M Winnipeg, MB R2N 0A2 Canada"
Wood Tavern & Grill,"112 Marion St Winnipeg, MB R2H 0T1 Canada"
Banza Noodle &Tea House,"102 Sherbrook Street Winnipeg, MB R3C 2B4 Canada"
Komodo Chinese Restaurant,"1031 Autumnwood Dr Winnipeg, MB R2J 1C6 Canada"
Gol’s Lanzhou Noodle,"2795 Pembina Highway Winnipeg, MB R3T 2H5 Canada"
Tehran Market & Cafe,"8-1875 Pembina Highway Winnipeg, MB R3T 2G7 Canada"
Kristina's On Corydon,"761 Corydon Avenue Winnipeg, MB R3M 0W5 Canada"
Dancing Noodle,"1393A Pembina Highway Winnipeg, MB R3T 2B8 Canada"
The Blue Marble Restaurant & Lounge,"1979 Wellington Avenue Winnipeg, MB R3H 1H5 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Moxies,"1750 Sargent Ave Winnipeg, MB R3H 0C7 Canada"
Momo,"2855 Pembina Highway Unit 40 Winnipeg, MB R3T 2H5 Canada"
Alibaba Turkish Restaurant,"754 St Mary's Rd Winnipeg, MB R2M 3N7 Canada"
Yumi Katsu,"120 Lowson Crescent Suite 2 Winnipeg, MB R3P 2H8 Canada"
The Captain's Boil,"667 Stafford St Unit B Winnipeg, MB R3M 2L9 Canada"
Carbone Coal Fired Pizza,"260 Saint Mary Avenue Winnipeg, MB R3C 0M6 Canada"
Dreamland Diner,"2615 Portage Avenue Winnipeg, MB R3J 0P7 Canada"
Yen’s Kitchen + Bar,"55 Sherbrook Street Winnipeg, MB R3C 2B3 Canada"
Noodle Express,"180 King Street Unit 107 Winnipeg, MB R3B 3G8 Canada"
St Louis Bar & Grill,"749 Sterling Lyon Parkway Unit 10 Winnipeg, MB R3P 1H1 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Fergies Fish N Chips & Seafood Market,"1 Forks Market Road Suite 142 Winnipeg, MB R3C 4L9 Canada"
Maxime's Restaurant & Lounge,"1131 Saint Mary's Road Winnipeg, MB R2M 3T9 Canada"
Tony Roma's,"1500 Pembina Hwy Winnipeg, MB R3T 2E3 Canada"
Chicago Joe's Winnipeg,"1808 Wellington Avenue Winnipeg, MB R3H 0G3 Canada"
The Tallest Poppy,"103 Sherbrook Winnipeg, MB R3C 2B5 Canada"
Montana's,"665 Empress Street Winnipeg, MB R3G 3P7 Canada"
Saddlery on Market,"114 Market Avenue Winnipeg, MB R3B 0P4 Canada"
Modern Electric Lunch,"232 Main Street Winnipeg, MB R3C 1A8 Canada"
Bellamy's Restaurant & Bar,"845 Dakota Street Suite 1 Winnipeg, MB R2M 5M3 Canada"
Tommy's Pizzeria,"842 Corydon Avenue Winnipeg, MB R3M 0Y4 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
The Chopped Leaf,"1120 Grant Avenue Winnipeg, MB R3M 2A6 Canada"
Nicolino's,"4-2077 Pembina Highway Winnipeg, MB R3T 5J9 Canada"
Cafe Carlo,"243 Lilac Street Winnipeg, MB R3M 2S2 Canada"
Junction 59 Roadhouse,"1615 Regent Avenue W Winnipeg, MB R2C 5C6 Canada"
TH Dang Restaurant,"1425 Pembina Highway Winnipeg, MB R3T 2C2 Canada"
Wasabi Sabi,"1360 Taylor Ave Winnipeg, MB R3M 3Z1 Canada"
Tony's Master Of Pizza,"1110 Pembina Highway Winnipeg, MB R3T 2A2 Canada"
Big Guy's Ranch & Saloon,"16-200 Meadowood Drive Winnipeg, MB R2M 2S6 Canada"
Smith Restaurant,"75 Forks Market Road Winnipeg, MB R3C 4Y3 Canada"
Red Foot Kitchen,"741 St Mary's Rd Winnipeg, MB R2M 3N5 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
