restaurant_name,address
Shuck Seafood and Raw Bar,"5120 Salter Street Halifax, NS B3J 0A1 Canada"
The Millstone Public House,"250 Baker Drive Dartmouth, NS B2W 6L4 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Brass Rail Restaurant,"978 Cole Harbour Road Dartmouth, NS B2V 1E7 Canada"
New Wing Wah,"347 Herring Cove Road Halifax, NS B3R 1V5 Canada"
What's the Scoop,"63 Government Wharf Road Eastern Passage, NS B3G Canada"
A Good Day Kitchen & Cafe,"1480 Fall River Rd Suite 302 Fall River, NS B2T 1J1 Canada"
The Old Triangle Irish Alehouse,"5136 Prince Street Halifax, NS B3J 1L4 Canada"
Busan Korean BBQ,"6311 Quinpool Road Halifax, NS B3L 1A4 Canada"
Jack Astor's,"107 Shubie Drive Dartmouth, NS B3B 0C3 Canada"
John's Lunch,"352 Pleasant Street Dartmouth, NS B2Y 3S5 Canada"
The Millstone Public House,"67 King’s Wharf Place Suite 102 Dartmouth, NS B2Y 0C6 Canada"
Harbour City Bar & Grill,"1990 Barrington Street Halifax, NS B3J 1P2 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Moxies,"9 Countryview Dr Dartmouth, NS B3B 0G4 Canada"
Station1 Lebanese Kitchen,"50 Tacoma Drive Dartmouth, NS B2W 3E6 Canada"
The Barrington Steakhouse and Oyster Bar,"1662 Barrington Street Halifax, NS B3J 2A2 Canada"
Mappatura Bistro,"5883 Spring Garden Road Halifax, NS B3H 4S4 Canada"
Let's Ko,"30 Damascus Road Unit 110 Bedford, NS B4A 0C1 Canada"
Backoos Korean ToGo Food,"1358 Birmingham Street Halifax, NS B3J 2J2 Canada"
Parkside Pub & Grill,"14 Highfield Park Dr Dartmouth, NS B3A 4S8 Canada"
Boondocks Restaurant,"200 Government Wharf Rd Building 6 Halifax, NS B3G 1M7 Canada"
Irie Vibes Bar & Grill,"972 Cole Harbour Road Dartmouth, NS B2V 1E7 Canada"
The Butcher's Block Pub & Eatery,"540 Southgate Drive Bedford, NS B4A 0E1 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Spice Hub Indian Kitchen,"1015 Main Street Unit 4 Dartmouth, NS B2W 3V4 Canada"
Café Goodluck,"145 Portland St Dartmouth, NS B2Y 1H9 Canada"
Aladdin,"746 Bedford Highway Halifax, NS B3M 2L9 Canada"
Pur & Simple,"535 Portland Street Unit 100 Dartmouth, NS L6H 6Z9 Canada"
The Press Gang Restaurant & Oyster Bar,"5218 Prince Street Halifax, NS B3J 0B1 Canada"
YiLan Restaurant,"1335 Barrington Street Halifax, NS B3J 1Y9 Canada"
Iron Rooster,"1671 Barrington Street Halifax, NS B3J 2A2 Canada"
aFrite Restaurant,"1360 Lower Water Street Halifax, NS B3J 3X2 Canada"
Pho Maniac,"1252 Hollis Street Halifax, NS B3J 1T6 Canada"
A Taste of the East,"1589 Dresden Row Halifax, NS B3J 2K4 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
