restaurant_name,price_range,rating,total_reviews,location,province
Homefire,$$,3.8 ,69,edmonton,AB
The Wokkery Restaurant,$$,3.4 ,16,edmonton,AB
Little Bee BBQ HK Cafe,$$,3.7 ,15,edmonton,AB
East75 Restaurant & Lounge,$$,3.3 ,4,edmonton,AB
Kazoku Ramen,$$,3.7 ,103,edmonton,AB
The Parlour Italian Kitchen & Bar,$$,3.3 ,141,edmonton,AB
Noi Thai,$$,4.5 ,60,edmonton,AB
Pazzo Pazzo Italian Cuisine,$$,3.7 ,60,edmonton,AB
Nuovo Bistro,$$,4.4 ,52,edmonton,AB
Chop steakhouse,$$$,3.5 ,85,edmonton,AB
Gravy- Burgers And Fries,$$,4.0 ,83,edmonton,AB
Ikki Sake Bar,$$,3.6 ,27,edmonton,AB
Malt & Mortar,$$,3.4 ,116,edmonton,AB
El Mariachi,$$,3.8 ,38,edmonton,AB
The Marc,$$$,4.2 ,143,edmonton,AB
Ten Foot Henry,$$$,4.6 ,532,calgary,AB
The Porch,$$,4.7 ,31,calgary,AB
Calan Beef Noodle,$$,4.3 ,64,calgary,AB
Hayden Block Smoke & Whiskey,$$,4.3 ,227,calgary,AB
The Himalayan,$$,4.7 ,279,calgary,AB
Maven,$$,4.5 ,27,calgary,AB
Namsan Korean Cuisine,$$,4.7 ,22,calgary,AB
Tokyo Street Market,$$,4.2 ,120,calgary,AB
Model Milk,$$$,4.0 ,259,calgary,AB
Khao San Thai Kitchen,$$,4.4 ,120,calgary,AB
Native Tongues Taqueria,$$,4.1 ,448,calgary,AB
Ke Charcoal Grill & Sushi,$$,4.4 ,86,calgary,AB
Gyu-Kaku Japanese BBQ,$$,4.1 ,108,calgary,AB
Donna Mac,$$,3.9 ,45,calgary,AB
Cactus Club Cafe,$$$,4.4 ,223,calgary,AB
El Furniture Warehouse,$,3.9 ,54,calgary,AB
NOtaBLE The Restaurant,$$$,4.0 ,292,calgary,AB
LOCAL Public Eatery,$$,3.9 ,125,calgary,AB
The Eden,$$,4.8 ,26,calgary,AB
The Holy Grill,$$,4.3 ,201,calgary,AB
Shokunin,$$$,4.2 ,168,calgary,AB
Bridgette Bar,$$$,4.4 ,107,calgary,AB
Mamak Dang Fusion Malaysian Cuisine,$$,4.3 ,82,calgary,AB
OEB Breakfast,$$,4.5 ,321,calgary,AB
Charcut Roast House,$$$,4.0 ,362,calgary,AB
Queens Breakfast Cocktails,$$,4.5 ,145,calgary,AB
Blue Star Diner,$$,4.4 ,251,calgary,AB
Wiener-Schnitzel Haus,$$,3.9 ,46,calgary,AB
OEB Breakfast,$$,4.4 ,609,calgary,AB
4th Spot Kitchen & Bar,$$,4.0 ,167,calgary,AB
Smuggler’s Inn,$$,3.8 ,115,calgary,AB
Garden of Italy,$$,4.6 ,60,calgary,AB
N9NA,$$,4.0 ,139,calgary,AB
Spot On Kitchen & Bar,$$,3.9 ,44,calgary,AB
Rodney’s Oyster House Calgary,$$$,3.8 ,109,calgary,AB
Minas Brazilian Steakhouse,$$$,3.8 ,121,calgary,AB
The Captain’s Boil,$$$,3.4 ,48,calgary,AB
The Wednesday Room,$$,4.1 ,38,calgary,AB
Pigeonhole,$$,4.0 ,107,calgary,AB
La Casa Latina Mexican & Latin Grill,$$,4.7 ,35,calgary,AB
The Lake House,$$$,4.3 ,45,calgary,AB
Fleur De Sel,$$$$,4.0 ,27,calgary,AB
La Bodega,$$,4.3 ,61,calgary,AB
Cassis Bistro,$$$,4.3 ,73,calgary,AB
Great Taste Chinese Restaurant,$$,4.0 ,91,calgary,AB
One18 Empire,$$,4.3 ,95,calgary,AB
Brouhaha,$$,4.6 ,12,calgary,AB
Molcajete,$$,4.9 ,7,calgary,AB
Posto Pizzeria and Bar,$$,4.3 ,89,calgary,AB
Holy Smoke BBQ,$$,3.9 ,79,calgary,AB
Namo Café Bistro - Edmonton Trail,$$,4.5 ,81,calgary,AB
Tamarind Vietnamese Grill & Noodle House,$$,4.4 ,94,calgary,AB
Red’s Diner Kensington,$$,3.8 ,97,calgary,AB
JOEY Eau Claire,$$,3.8 ,137,calgary,AB
Menyatai Japanese Noodles,$$,3.9 ,103,calgary,AB
Bennys Breakfast Bar,$$,4.1 ,121,calgary,AB
OEB Breakfast,$$,3.9 ,129,calgary,AB
Noodlebox,$$,4.2 ,47,calgary,AB
900 Degree Pizza,$,4.5 ,17,calgary,AB
UNA Pizza + Wine,$$,4.1 ,410,calgary,AB
Banh Mi Thai Tai,$,3.9 ,55,calgary,AB
Ikemen Ramen Bar,$$,3.7 ,102,calgary,AB
Shawarma House,$,4.4 ,60,calgary,AB
Las Canarias,$$,4.0 ,29,calgary,AB
Tacos Mexico,$$,4.3 ,77,calgary,AB
Dairy Lane Café,$$,4.2 ,244,calgary,AB
Klein Harris,$$,4.5 ,68,calgary,AB
Stone Bowl Korean Cuisine,$$,4.1 ,33,calgary,AB
The CattleBaron Steakhouse & Bar,$$$,4.1 ,115,calgary,AB
OMO Teppan and Kitchen,$$,4.0 ,56,calgary,AB
White Elephant Thai Cuisine,$$,4.1 ,194,calgary,AB
Big Catch Sushi,$$,4.7 ,106,calgary,AB
Jonas Restaurant & Bar,$$,4.4 ,56,calgary,AB
Kangnam Station,$$$,4.3 ,3,calgary,AB
Alforno Bakery & Cafe,$$,3.8 ,190,calgary,AB
Big T’s BBQ & Smokehouse,$$,3.5 ,150,calgary,AB
Jackie’s Thai,$,4.1 ,32,calgary,AB
Selkirk Grille,$$,4.1 ,24,calgary,AB
Trolley 5,$$,3.9 ,124,calgary,AB
OEB Breakfast,$$,3.4 ,26,calgary,AB
Ship & Anchor Pub,$$,3.9 ,149,calgary,AB
Anatolia,$,4.7 ,11,calgary,AB
Ramen Ichinen,$$,4.5 ,63,calgary,AB
Shibuya Izakaya,$$,4.0 ,84,calgary,AB
San Dong Banjeom,$$,4.3 ,22,calgary,AB
Last Best Brewing & Distilling,$$,4.0 ,123,calgary,AB
Thi Thi Vietnamese Subs,$,4.3 ,148,calgary,AB
Ogam Chicken,$$,4.0 ,69,calgary,AB
Sso Yummy,$,4.7 ,25,calgary,AB
Blue Flame Kitchen Café,$$,3.7 ,7,calgary,AB
Juree’s Thai Place,$$,3.9 ,147,calgary,AB
Sammy’s Chophouse,$,4.0 ,10,calgary,AB
Paddy’s Barbecue & Brewery,$$,4.3 ,24,calgary,AB
Cleaver,$$,3.4 ,162,calgary,AB
Carino,$$$,4.6 ,36,calgary,AB
Hdmona Restaurant,$$,4.5 ,11,calgary,AB
Our Daily Brett Market & Cafe,$$,3.9 ,21,calgary,AB
Empanada Queen,$,4.1 ,34,calgary,AB
Sultan’s Tent,$$$,3.9 ,43,calgary,AB
Red’s Diner Ramsay,$$,4.1 ,108,calgary,AB
Pure Modern Asian Kitchen + Bar,$$,4.3 ,70,calgary,AB
South Silk Road Chinese Restaurant,$$,4.2 ,39,calgary,AB
Po-ke,$$,3.8 ,90,calgary,AB
Centre Street Japanese Hotpot,$$,3.5 ,31,calgary,AB
Han Corea,$$,4.2 ,73,calgary,AB
The Coup,$$,4.3 ,271,calgary,AB
Cactus Club Cafe,$$,4.1 ,98,calgary,AB
Rouge,$$$$,4.0 ,70,calgary,AB
BeeFun hot pot,$$,4.0 ,11,calgary,AB
JINYA Ramen Bar - Calgary,$$,3.7 ,155,calgary,AB
Buon Giorno Ristorante Italiano,$$,4.0 ,76,calgary,AB
Donday,$$,3.5 ,31,calgary,AB
