restaurant_name,price_range,rating,total_reviews,location,province
Fondue Kim Long,$$,4.0 ,13,montreal,QC
Restaurant Calvi,$$$,4.5 ,10,montreal,QC
Boucherie et Grillades Rayan,$,4.8 ,4,montreal,QC
Isle de Garde,$$,4.3 ,66,montreal,QC
Ibéricos,$$,4.4 ,73,montreal,QC
The Dumpling Hut,$$,4.5 ,99,montreal,QC
La Rose Des Sables,$$,3.9 ,8,montreal,QC
Braseiro,$$,4.2 ,27,montreal,QC
Chez Khady,$$,4.0 ,7,montreal,QC
Diolo,$$$,4.1 ,11,montreal,QC
Pumpui,$$,4.3 ,53,montreal,QC
Jardin Iwaki,$$,4.5 ,35,montreal,QC
Asie Moderne,$$,4.1 ,18,montreal,QC
Biirū,$$,4.1 ,189,montreal,QC
Patate Rouge,$,4.3 ,9,montreal,QC
Le Bay Cà Phê,$$,4.5 ,18,montreal,QC
Café Bistro II Momento,$,4.0 ,1,montreal,QC
Nostos,$$,3.8 ,39,montreal,QC
3 Amigos,$$,3.1 ,10,montreal,QC
Le Vestiaire,$$,4.5 ,28,montreal,QC
Chez Wafi,$,4.8 ,13,montreal,QC
Siboire,$$,4.1 ,28,sherbrooke,QC
OMG Resto,$$,3.9 ,43,sherbrooke,QC
Antidote FoodLab,$$$,4.7 ,22,sherbrooke,QC
Cafe Aragon,$$,5.0 ,10,sherbrooke,QC
Le Snack,$$,4.2 ,24,sherbrooke,QC
Le Classyco,$$,5.0 ,5,sherbrooke,QC
Bâton Rouge Steakhouse & Bar,$$$,3.1 ,8,sherbrooke,QC
Restaurant Pho Loc,$$,4.0 ,11,sherbrooke,QC
Habaneros Grill Mexicain,$$,4.5 ,2,sherbrooke,QC
Buffet des Continents,$$,3.2 ,9,sherbrooke,QC
Sballo Il Ristorante,$$$$,4.8 ,4,sherbrooke,QC
La Mare Au Diable,$,5.0 ,1,sherbrooke,QC
Louis,$,4.6 ,14,sherbrooke,QC
Shogun Sushi,$$,3.4 ,12,sherbrooke,QC
Auguste,$$$,3.9 ,7,sherbrooke,QC
Mechant Steak,$$$,3.8 ,4,sherbrooke,QC
Tapageur,$$$,3.7 ,6,sherbrooke,QC
Chanchai,$$,3.7 ,10,sherbrooke,QC
Restaurant Shalimar,$$,4.5 ,6,sherbrooke,QC
Eggsquis,$,4.1 ,7,sherbrooke,QC
La Brûlerie de Café Lennox,$,4.1 ,8,sherbrooke,QC
La Friterie,$,2.5 ,2,sherbrooke,QC
Restaurant Au Pot Au Feu Pizzeria,$$,5.0 ,1,sherbrooke,QC
Harvey’s,$$,4.2 ,5,sherbrooke,QC
Restaurant Cafe Bla-Bla,$$,3.8 ,5,sherbrooke,QC
Bistro Kàapeh Espresso,$,4.5 ,4,sherbrooke,QC
Rôtisserie St-Hubert,$$$,2.8 ,5,sherbrooke,QC
Caffuccino,$$,4.5 ,2,sherbrooke,QC
L’Empreinte,$$$,4.0 ,2,sherbrooke,QC
Cantine Viet,$$,2.0 ,1,sherbrooke,QC
Le Tassé - Café de Quartier,$,5.0 ,5,sherbrooke,QC
Masala Cafe,$$,2.5 ,6,sherbrooke,QC
Osé Sushi,$$$,3.0 ,2,sherbrooke,QC
Restaurant Da Leonardo,$$,2.0 ,1,sherbrooke,QC
A&W,$,3.0 ,1,sherbrooke,QC
Stratos Pizzeria,$$,3.0 ,2,sherbrooke,QC
Domino’s Pizza,$$,2.7 ,3,sherbrooke,QC
Restaurant Jerry Pizzeria,$$,3.2 ,6,sherbrooke,QC
Le Bureau de Poste,$,4.5 ,14,trois-rivieres,QC
Le Buck - Pub Gastronomique,$$$,4.6 ,20,trois-rivieres,QC
Poivre Noir,$$,4.3 ,9,trois-rivieres,QC
Le Sacristain,$$,4.8 ,22,trois-rivieres,QC
Restaurant Cuisto,$$,4.4 ,5,trois-rivieres,QC
Le Grec,$$,3.9 ,15,trois-rivieres,QC
Restaurant Patachou,$$,4.5 ,6,trois-rivieres,QC
Café Frida,$$,4.4 ,26,trois-rivieres,QC
Archibald Micro & Resto,$$$,3.9 ,7,trois-rivieres,QC
Buffet Des Continents,$$,2.6 ,5,trois-rivieres,QC
Mondo,$$,3.9 ,10,trois-rivieres,QC
Angéline,$$,3.8 ,21,trois-rivieres,QC
Gambrinus Brasserie Artisanale,$$,4.2 ,5,trois-rivieres,QC
Restaurant Au Four A Bois,$$$,4.0 ,1,trois-rivieres,QC
Sushi Taxi - Trois-Rivières,$$,4.8 ,4,trois-rivieres,QC
La Maison de Débauche par le Carlito,$$,3.8 ,10,trois-rivieres,QC
Resto-Bar Faste-Fou,$$,3.8 ,6,trois-rivieres,QC
Pizzeria le Grand Constant,$$,5.0 ,3,trois-rivieres,QC
RESTAURANT BRAVO PIZZERIA,$$,3.6 ,8,trois-rivieres,QC
Rôtisserie St-Hubert,$,3.3 ,3,trois-rivieres,QC
Restaurant Le Grill,$$$,3.0 ,3,trois-rivieres,QC
Riverin Pizzeria,$$,4.0 ,2,trois-rivieres,QC
Thaizone,$$,3.0 ,3,trois-rivieres,QC
Sushizo,$$$,4.8 ,4,trois-rivieres,QC
Café Morgane,$,4.5 ,2,trois-rivieres,QC
A&W,$,5.0 ,1,trois-rivieres,QC
Casse-Croute 55,$$,5.0 ,1,trois-rivieres,QC
Fromagerie Victoria,$$,3.3 ,6,trois-rivieres,QC
Maison Griffin Décor,$$,5.0 ,1,trois-rivieres,QC
Rôtisserie Scores,$,2.0 ,1,trois-rivieres,QC
Le Lapin Sauté,$$$,4.3 ,694,quebec,QC
La Bûche,$$,4.2 ,634,quebec,QC
Buvette Scott,$$$,4.9 ,175,quebec,QC
Bistro St-Malo,$$,4.3 ,374,quebec,QC
Le Pape Georges,$$,4.3 ,90,quebec,QC
Le Billig,$$,4.4 ,575,quebec,QC
Le Hobbit,$$,4.1 ,435,quebec,QC
Chez Victor,$$,4.3 ,140,quebec,QC
Cochon Dingue,$$,4.0 ,643,quebec,QC
Légende,$$$$,4.6 ,141,quebec,QC
Le Saint-Amour,$$$$,4.6 ,196,quebec,QC
Jardin Du Bonheur,$$,4.8 ,4,quebec,QC
Chez Boulay - Bistro Boréal,$$$,4.4 ,388,quebec,QC
Bistro 1640,$$,3.8 ,217,quebec,QC
Poutineville,$$,4.3 ,123,quebec,QC
Le Café du Clocher Penché,$$,4.7 ,124,quebec,QC
L’ENTRECOTE SAINT-JEAN,$$,3.9 ,167,quebec,QC
Le Continental,$$$$,4.3 ,193,quebec,QC
L’Affaire Est Ketchup,$$$,4.6 ,179,quebec,QC
Q-de-Sac Resto-Pub,$$,4.4 ,96,quebec,QC
Ophelia,$$$,4.3 ,68,quebec,QC
Chez Jules,$$,4.2 ,150,quebec,QC
Aux Anciens Canadiens,$$$,3.9 ,367,quebec,QC
Tora-Ya Ramen,$$,4.3 ,50,quebec,QC
Chez Temporel,$$,4.5 ,90,quebec,QC
Ciccio Cafe,$$,4.7 ,56,quebec,QC
Le Croquembouche Pâtissier et traiteur,$,4.5 ,113,quebec,QC
Paillard,$$,4.2 ,650,quebec,QC
Sapristi,$$,3.9 ,233,quebec,QC
