restaurant_name,price_range,rating,total_reviews,location,province
The George Hamilton,$$,3.6 ,20,hamilton,ON
The Egg and I Restaurants,$$,3.9 ,17,hamilton,ON
Thai Tamarind,$$,4.3 ,20,hamilton,ON
Bronzie’s Place,$$,4.3 ,27,hamilton,ON
Pinks,$,3.9 ,20,hamilton,ON
Caribbean Flavah,$,3.0 ,9,hamilton,ON
Bean Bar,$$,3.7 ,93,hamilton,ON
Rose Garden Family Restaurant,$,4.0 ,8,hamilton,ON
541 Eatery & Exchange,$,4.4 ,42,hamilton,ON
Alamin Charcoal Flame,$,3.3 ,18,hamilton,ON
Bliss Kitchen,$$,4.4 ,23,hamilton,ON
The Lighthouse Fish and Chips,$$,3.3 ,10,hamilton,ON
Lord Nelson,$$$$,4.0 ,22,hamilton,ON
Sushi On Fennell,$,3.8 ,25,hamilton,ON
India Village,$$,4.5 ,22,hamilton,ON
India Village Restaurant,$$,4.4 ,25,hamilton,ON
Burrito Bandidos,$,3.8 ,15,hamilton,ON
La Luna,$$,3.8 ,63,hamilton,ON
Tracie’s Place Restaurant & Karaoke,$$,4.2 ,5,hamilton,ON
Masala Corner,$,4.5 ,2,hamilton,ON
The Royal Coachman,$$,3.5 ,32,hamilton,ON
The Watermark Taphouse & Grille,$$$$,2.7 ,21,hamilton,ON
The Valley Charcoal,$,3.1 ,10,hamilton,ON
Toma La,$$,2.9 ,24,hamilton,ON
Pepperwood Bistro,$$,3.3 ,80,hamilton,ON
Turtle Jack’s Upper James,$$,3.1 ,36,hamilton,ON
Boston Pizza,$$,3.4 ,22,hamilton,ON
Jack Astor’s Bar and Grill,$$,3.5 ,16,hamilton,ON
Papagayo Restaurant,$$,4.0 ,10,hamilton,ON
Turtle Jack’s,$$,3.9 ,22,hamilton,ON
Shakespeare’s Steak and Seafood,$$$,4.2 ,21,hamilton,ON
Dimario’s Trattoria,$$,4.3 ,19,hamilton,ON
Baci Ristorante,$$,3.7 ,43,hamilton,ON
Broadway Diner,$$,4.1 ,28,hamilton,ON
The Honest Lawyer,$$,1.6 ,55,hamilton,ON
Marciano’s Pasta Cafe,$$,4.5 ,10,hamilton,ON
Saigon Asian Restaurant,$,2.7 ,38,hamilton,ON
Symposium Cafe Restaurant,$$,2.4 ,16,hamilton,ON
Sea Shanty Fish & Chips,$$,4.6 ,14,hamilton,ON
Shoeless Joe’s Sports Grill - Hamilton,$$,2.5 ,24,hamilton,ON
Emilio’s Eatery & Bakery,$,2.8 ,6,hamilton,ON
Harbour Diner,$$,3.7 ,58,hamilton,ON
XXX Burrito,$,3.5 ,14,hamilton,ON
Social Lounge 8090,$$,3.3 ,14,hamilton,ON
Earls Kitchen + Bar,$$,3.6 ,44,hamilton,ON
Culantro Peruvian Cookery,$$,3.6 ,23,hamilton,ON
Saint James Espresso Bar & Eatery,$$,4.4 ,57,hamilton,ON
Pub Fiction Gasbar & Grill,$$,2.0 ,10,hamilton,ON
Firth’s Celtic Pub,$$,4.3 ,4,hamilton,ON
Rawlicious,$$,4.2 ,5,hamilton,ON
Kelseys Original Roadhouse,$$,3.8 ,9,hamilton,ON
