restaurant_name,address
Izakaya Tomo,"3739 99 Street Edmonton, AB T6E 6J7 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Let's Grill Sushi & Izakaya,"10709 Jasper Avenue Edmonton, AB T5J 3N3 Canada"
JOEY Bell Tower,"10310-101 Street NW Edmonton, AB T5J 4X1 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Chi & Em,"10542 82 Ave NW Edmonton, AB T6E 2A4 Canada"
Dadeo,"10548A 82 Avenue NW Edmonton, AB T6E 2A4 Canada"
Uncle Ed's Restaurant,"4824 118 Avenue NW Edmonton, AB T5W 1B4 Canada"
Arbour,"10421 82 Avenue NW Edmonton, AB T6E 2A1 Canada"
Continental Treat Fine Bistro,"9698 Jasper Avenue Edmonton, AB T5H 3V5 Canada"
Share,"10135 100 Street NW The Westin Edmonton Edmonton, AB T5J 0N7 Canada"
CRAFT Beer Market,"10013 101A Avenue Edmonton, AB T5J 0C3 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Sauce Caribbean,"13655 St Albert Trail Edmonton, AB T5L 5E7 Canada"
Dorinku Tokyo,"10205 82 Avenue NW Edmonton, AB T6E 3X8 Canada"
Wilfred's,"10429 121 Street NW Edmonton, AB T5N 1L2 Canada"
Little Brick,"10004  90th Street Edmonton, AB T5H 4P4 Canada"
La Patrona,"2 Athabascan Avenue Unit 8 Sherwood Park, AB T8A 4E3 Canada"
XO Bistro & Bar,"10236 103 Street Edmonton, AB T5J 0Y8 Canada"
La Boca Loca,"3903 99 Street Suite 120 Edmonton, AB T6E 6M2 Canada"
Machef,"5818 111 Street NW Edmonton, AB T6H 3G1 Canada"
Tea House Cafe,"10332 81 Avenue NW Edmonton, AB T6E 1X2 Canada"
Izakaya Otori,"11212 Jasper Avenue Edmonton, AB T5K 2V2 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Glass Monkey,"5842 111 Street NW Edmonton, AB T6H 3G1 Canada"
GURU Kitchen + Bar,"10111 104 Avenue Unit 108 Edmonton, AB T5J 0J4 Canada"
Northern Chicken,"10704 124 Street Edmonton, AB T5M 0H1 Canada"
Restaurant Yarrow,"101-10544 114 Street NW Edmonton, AB T5H 3J7 Canada"
Asian Express Hot Pot,"10586 100 Street NW Edmonton, AB T5H 2R6 Canada"
La Bodeguita De Cuba,"11810 87 Street NW Edmonton, AB T5B 3M9 Canada"
Sarap Sarap Catering and Restaurant,"10130 107 Avenue NW Edmonton, AB T5H 0V5 Canada"
Dagu Rice Noodle,"10408 Jasper Avenue Edmonton, AB T5J 1Z3 Canada"
The Purple Perogy,"993 Fir Street Unit 24 Sherwood Park, AB T8A 4N5 Canada"
The People's Perogy,"13645 149 Street Edmonton, AB T5L 2T3 Canada"
Montana's BBQ & Bar,"1720 99 St Nw Edmonton, AB T6N 1M5 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Kiwado Japanese Cuisine,"10923-101 Street NW Edmonton, AB T5H 2S7 Canada"
Bottega 104,"10181 104 Street NW Edmonton, AB T5J 0Z9 Canada"
Golden Dumpling Restaurant,"10939-101 Street Edmonton, AB T5H 2S7 Canada"
Ernest's,"Hokanson Centre for Culinary Arts 11762 106th Street Edmonton, AB T5G 2R1 Canada"
LOFT Thai Eatery,"5324 75 Street NW Edmonton, AB T6E 6S4 Canada"
Gangnam Street Food,"15, 9261 34 Avenue NW Edmonton, AB T6E 5T5 Canada"
May,"10522 124 St Edmonton, AB T5N 1R9 Canada"
Jerusalem Shawarma,"9320 137 Avenue NW Edmonton, AB T5E 6C2 Canada"
El Corazon,"14101 West Block Drive NW Unit 150 Edmonton, AB T5N 1L5 Canada"
OEB Breakfast ,"56 - 10240 124 St Edmonton, AB T5N 3W6 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Pink Gorilla,"11909 Jasper Avenue Edmonton, AB T5K 0P1 Canada"
Pur & Simple,"1 Kingsway Garden Mall NW Edmonton, AB T5G 3A6 Canada"
Vaticano Cucina,"10310 45 Ave NW Edmonton, AB T6H 5K3 Canada"
Y-Not Indian,"10060 Jasper Avenue NW Edmonton, AB T5J 1V9 Canada"
Community Taps + Pizza,"8232 Gateway Boulevard NW Edmonton, AB T6E 4B2 Canada"
Misoya,"10146 104 Street NW Edmonton, AB T5J 1A7 Canada"
Harvest Room,"10065 - 100th Street Edmonton, AB T5J 0N6 Canada"
Damso Izakaya,"10352 82 Avenue NW Edmonton, AB T6E 1Z8 Canada"
Bistro Praha,"10117 101 Street NW Edmonton, AB T5J 0T4 Canada"
Aloha Hawaiian Poke & Grill,"11315 174 Street NW Edmonton, AB T5S 0B7 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Calle Mexico,"11127 107th Avenue Edmonton, AB T5H 0X9 Canada"
Eat Sushi,"102-11010 101 Street NW Edmonton, AB T5H 4B9 Canada"
Hanjan Oliver,"10166 114 Street NW Edmonton, AB T5K 1R7 Canada"
Poke & More Canada,"7256 101 Avenue NW Edmonton, AB T6A 0J1 Canada"
Thanh Thanh Oriental Noodle House,"10718 101 Street NW Edmonton, AB T5H 2S3 Canada"
Hunan Family Cuisine,"10558 109 St NW Edmonton, AB T5H 3B2 Canada"
The Cajun House,"7 Saint Anne Street St. Albert, AB T8N 2X4 Canada"
Padmanadi Vegetarian Restaurant,"10740 101 Street Edmonton, AB T5H 2S3 Canada"
Big Daddy's Sandwich,"15039  118 Avenue Edmonton, AB T5V 1B8 Canada"
Wing Snob,"11988-104 Avenue Building 4 Edmonton, AB T5K 2G2 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Barbecue King City,"10606 - 97 Street Edmonton, AB T5H 2L6 Canada"
The Next Act,"8224 104 Street NW Edmonton, AB T6E 4E6 Canada"
Haus Falkenstein,"15215 111 Ave NW Edmonton, AB T5M 2R1 Canada"
Joanne's BBQ House,"13119 156 Street NW Edmonton, AB T5V 1V2 Canada"
New Tan Tan,"10133 97 Street NW Edmonton, AB T5J 0L2 Canada"
Seoul Fried Chicken,"7904B - 104 Street Edmonton, AB T6J 4C8 Canada"
Flirty Bird Nashville Hot Chicken,"10455 Whyte Avenue Edmonton, AB T6E 2A2 Canada"
