restaurant_name,price_range,rating,total_reviews,category,location,province,address
Backoos Korean ToGo Food,$,4.2 ,38,Korean,halifax,NS,"1358 Birmingham Street Halifax, NS B3J 2J2 Canada"
Parkside Pub & Grill,$$,3.5 ,36,Pubs,halifax,NS,"14 Highfield Park Dr Dartmouth, NS B3A 4S8 Canada"
Boondocks Restaurant,$$,3.1 ,41,Canadian (New),halifax,NS,"200 Government Wharf Rd Building 6 Halifax, NS B3G 1M7 Canada"
Aladdin,$$,3.8 ,24,Mediterranean,halifax,NS,"746 Bedford Highway Halifax, NS B3M 2L9 Canada"
Pur & Simple,$$,3.6 ,14,Breakfast & Brunch,halifax,NS,"535 Portland Street Unit 100 Dartmouth, NS L6H 6Z9 Canada"
The Press Gang Restaurant & Oyster Bar,$$$,4.1 ,142,Bars,halifax,NS,"5218 Prince Street Halifax, NS B3J 0B1 Canada"
A Taste of the East,$$,4.4 ,19,Chinese,halifax,NS,"1589 Dresden Row Halifax, NS B3J 2K4 Canada"
Trendz Café and Wine Bar,$$,4.3 ,14,Wine Bars,halifax,NS,"15 Spectacle Lake Drive Dartmouth, NS B3B 1X7 Canada"
The Stubborn Goat Gastropub,$$,3.7 ,206,Gastropubs,halifax,NS,"1579 Grafton Street Halifax, NS B3J 2C3 Canada"
Lakeside Bar & Grill,$$,4.0 ,6,Canadian (New),halifax,NS,"250 St Margarets Bay Road Halifax, NS B3N 1J4 Canada"
Ratinaud French Cuisine,$$$$,4.0 ,7,French,halifax,NS,"2157 Gottingen Street Halifax, NS B3K 3B3 Canada"
La Cucina Cafe,$$,2.6 ,52,Italian,halifax,NS,"151 Hector Gate Dartmouth, NS B3B 0E5 Canada"
Mizu All You Can Eat,$$,3.5 ,86,Japanese,halifax,NS,"644 Portland Street Dartmouth, NS B2W 6C4 Canada"
The Orient Chinese Cuisine,$$,4.3 ,27,Chinese,halifax,NS,"227 Bedford HIghway Halifax, NS B3M 2J9 Canada"
Mirchi Tandoor,$$,4.3 ,44,Indian,halifax,NS,"5232 Blowers Street Halifax, NS B3J 1J7 Canada"
Field Guide,$$,4.1 ,38,Canadian (New),halifax,NS,"2076 Gottingen Street Halifax, NS B3K 3B4 Canada"
Highwayman,$$$,4.2 ,32,Cocktail Bars,halifax,NS,"1673 Barrington Street Halifax, NS B3J 1Z9 Canada"
Pho Hoang Minh Vietnamese Restaurant,$,3.9 ,83,Vietnamese,halifax,NS,"172 Wyse Road Dartmouth, NS B3A 1M6 Canada"
Stone Pizza,$,4.3 ,21,Pizza,halifax,NS,"79 Alderney Drive Dartmouth, NS B2Y 2N7 Canada"
Tako Sushi & Ramen,$$,4.3 ,97,Sushi Bars,halifax,NS,"480 Parkland Drive Halifax, NS B3S 1P9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
