restaurant_name,address
Afuri,"411 Church Street Toronto, ON M4Y 2C2 Canada"
Banh Mi Boys,"2365 Yonge Street Toronto, ON M4P 3J6 Canada"
Eataly Toronto,"55 Bloor Street W Manulife Centre Toronto, ON M4W 1A6 Canada"
Little Sister,"2031 Yonge Street Toronto, ON M4S 1Z9 Canada"
Barnsteiner's,"1 Balmoral Avenue Toronto, ON M4V 3B9 Canada"
Yukashi Japanese Cuisine,"643A Mount Pleasant Road Toronto, ON M4S 2M9 Canada"
Bistro Five61,"561 Avenue Road Toronto, ON M4V 2K4 Canada"
Tiflisi,"1970 Queen Street E Toronto, ON M4L 1H8 Canada"
Eggstatic,"1568 Bayview Avenue Toronto, ON M4G 3B7 Canada"
Revelstoke Cafe,"195 Carlton Street Toronto, ON M5A 2K7 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
La Vecchia Ristorante,"2405A Yonge Street Toronto, ON M4P 2E7 Canada"
Hana Don,"128 Dundas Street W Toronto, ON M5G 1C3 Canada"
Kaiseki Yu-zen Hashimoto,"6 Garamond Court Toronto, ON M3C 1Z5 Canada"
Flaming Stove,"21 Davisville Avenue Toronto, ON M4S 1G3 Canada"
El Sazón de la Tia Flor,"1549 O'Connor Drive Toronto, ON M4B 2V7 Canada"
Shunoko,"3220 Yonge Street Toronto, ON M4N 2L2 Canada"
Hokkaido Ramen Santouka,"2057 Yonge St Toronto, ON M4S 2A2 Canada"
Ehwa Uptown,"4866 Yonge Street North York, ON M2N 5N2 Canada"
Black Camel,"4 Crescent Road Toronto, ON M4W 1S9 Canada"
Trattoria Nervosa,"75 Yorkville Avenue Toronto, ON M5R 1B8 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
