restaurant_name,price_range,rating,total_reviews,category,location,province,address
Hokkaido Ramen Santouka,$$,4.3 ,58,Ramen,toronto,ON,"2057 Yonge St Toronto, ON M4S 2A2 Canada"
Black Camel,$,4.4 ,382,Sandwiches,toronto,ON,"4 Crescent Road Toronto, ON M4W 1S9 Canada"
Trattoria Nervosa,$$,3.8 ,401,Italian,toronto,ON,"75 Yorkville Avenue Toronto, ON M5R 1B8 Canada"
Trattoria Nervosa,$$,3.8 ,401,Italian,toronto,ON,"75 Yorkville Avenue Toronto, ON M5R 1B8 Canada"
Pii Nong Thai,$$,4.0 ,66,Thai,toronto,ON,"1677 Bayview Avenue Toronto, ON M4G 3C1 Canada"
Playa Cabana,$$,4.0 ,473,Mexican,toronto,ON,"111 Dupont Street Toronto, ON M5R 1V4 Canada"
Bi Bim Bap,$$,4.1 ,81,Korean,toronto,ON,"950 Eglinton Avenue W Toronto, ON M6C 2C2 Canada"
La Bella Managua,$$,4.3 ,252,Latin American,toronto,ON,"872 Bloor Street W Toronto, ON M6G 1M5 Canada"
LOCAL Public Eatery - Leaside,$$,3.6 ,149,American (Traditional),toronto,ON,"180 Laird Drive Toronto, ON M4G 3V7 Canada"
Pantheon Restaurant,$$,4.2 ,346,Greek,toronto,ON,"407 Danforth Avenue Toronto, ON M4K 1P1 Canada"
Library Bar,$$$,4.1 ,127,Lounges,toronto,ON,"100 Front Street W Fairmont Royal York Toronto, ON M5J 1E3 Canada"
The Hole In the Wall,$$,4.3 ,172,Pubs,toronto,ON,"2867 Dundas Street W Toronto, ON M6P 1Y9 Canada"
The Monkey Bar,$$$,4.2 ,44,Canadian (New),toronto,ON,"3353 Yonge Street Toronto, ON M4N 2M6 Canada"
Local 1794,$$,4.1 ,120,Canadian (New),toronto,ON,"1794 Danforth Avenue Toronto, ON M4C 1H8 Canada"
MIA Brunch Bar,$$,4.1 ,33,Breakfast & Brunch,toronto,ON,"2140 Yonge Street North York, ON M4S 2A8 Canada"
Completo,$,4.4 ,172,Latin American,toronto,ON,"5 Coady Avenue Toronto, ON M4M 2Y9 Canada"
Completo,$,4.4 ,172,Latin American,toronto,ON,"337 Broadview Ave Toronto, ON M4M 2H1 Canada"
Queen of Persia,$$$,4.4 ,50,Persian/Iranian,toronto,ON,"672A St Clair Avenue W Toronto, ON M6C 1B1 Canada"
Jerusalem Restaurant,$$,3.8 ,96,Middle Eastern,toronto,ON,"955 Eglinton Avenue W York, ON M6C 2C4 Canada"
Jerusalem Restaurant,$$,3.8 ,96,Middle Eastern,toronto,ON,"955 Eglinton Avenue W York, ON M6C 2C4 Canada"
Khau Gully,$$,4.1 ,98,Indian,toronto,ON,"1991 Yonge Street Toronto, ON M4S 1Z8 Canada"
Thairoomgrand,$$,4.5 ,23,Thai,toronto,ON,"288 Eglinton Avenue W Toronto, ON M4R 1B2 Canada"
Thairoomgrand,$$,4.5 ,23,Thai,toronto,ON,"288 Eglinton Avenue W Toronto, ON M4R 1B2 Canada"
Mogouyan Hand-Pulled Noodles,$$,4.4 ,62,Noodles,toronto,ON,"124 Dundas St W Toronto, ON M5G 1C3 Canada"
Mogouyan Hand-Pulled Noodles,$$,4.4 ,62,Noodles,toronto,ON,"124 Dundas St W Toronto, ON M5G 1C3 Canada"
Mogouyan Hand-Pulled Noodles,$$,4.4 ,62,Noodles,toronto,ON,"760 Yonge Street Toronto, ON M4Y 2B6 Canada"
Sunnyside Pavilion Cafe,$$,2.8 ,56,Diners,toronto,ON,"1755 Lake Shore Boulevard W Toronto, ON M6S 5A3 Canada"
Sunnyside Pavilion Cafe,$$,2.8 ,56,Diners,toronto,ON,"1755 Lake Shore Boulevard W Toronto, ON M6S 5A3 Canada"
Antler Kitchen & Bar,$$$,4.5 ,289,Canadian (New),toronto,ON,"1454 Dundas Street West Toronto, ON M6J 1Y6 Canada"
Antler Kitchen & Bar,$$$,4.5 ,289,Canadian (New),toronto,ON,"1454 Dundas Street West Toronto, ON M6J 1Y6 Canada"
Hot Pot Restaurant,$$,4.7 ,28,Caribbean,toronto,ON,"1545 Eglinton Avenue  W Toronto, ON M6E 2G8 Canada"
Dirty Food Eatery,$$,4.4 ,139,Breakfast & Brunch,toronto,ON,"3070 Dundas Street W Toronto, ON M6P 1Z7 Canada"
Juicy Dumpling,$,4.2 ,621,Dim Sum,toronto,ON,"280 Spadina Ave Unit M-N Toronto, ON M5T 0A1 Canada"
Juicy Dumpling,$,4.2 ,621,Dim Sum,toronto,ON,"2150 Yonge street Toronto, ON M4S 2A8 Canada"
Hana Don,$$,4.1 ,44,Japanese,toronto,ON,"128 Dundas Street W Toronto, ON M5G 1C3 Canada"
Hana Don,$$,4.1 ,44,Japanese,toronto,ON,"1800 Sheppard Ave E Unit 2020 Toronto, ON M2J 5A7 Canada"
Oakwood Hardware Food & Drink,$$,4.1 ,55,Gastropubs,toronto,ON,"337 Oakwood Avenue Toronto, ON M6E 2V8 Canada"
The Queen And Beaver Public House,$$,3.8 ,410,Pubs,toronto,ON,"35 Elm Street Toronto, ON M5G 1H1 Canada"
Pearl Diver,$$,4.2 ,628,Seafood,toronto,ON,"100 Adelaide Street E Toronto, ON M5C 1K9 Canada"
Knuckle Sandwich,$$,4.1 ,119,Poutineries,toronto,ON,"969 Coxwell Avenue Toronto, ON M4C 3G4 Canada"
Momo Hut & Gardens,$$,4.7 ,121,Himalayan/Nepalese,toronto,ON,"401 Danforth Avenue Danforth Toronto, ON M4K 1P1 Canada"
El Charro,$,4.0 ,88,Mexican,toronto,ON,"788 Broadview ave Toronto, ON M4K 2P7 Canada"
Borrel,$$,3.5 ,20,Modern European,toronto,ON,"1333 Danforth Avenue Toronto, ON M4J 1N1 Canada"
Scaramouche Restaurant Pasta Bar & Grill,$$$$,4.5 ,335,French,toronto,ON,"1 Benvenuto Place Toronto, ON M4V 2L1 Canada"
Fat Pasha,$$$,3.8 ,209,Middle Eastern,toronto,ON,"414 Dupont Street Toronto, ON M5R 1V9 Canada"
Yasu,$$$$,4.5 ,427,Japanese,toronto,ON,"81 Harbord Street Toronto, ON M5S 1G4 Canada"
Pizza Banfi,$$,4.1 ,35,Italian,toronto,ON,"333 Lonsdale Rd Toronto, ON M5P 1R3 Canada"
Daldongnae,$$$,4.4 ,89,Korean,toronto,ON,"658 Bloor Street Toronto, ON M6G 1K9 Canada"
Seoul Food Take-Out,$,4.5 ,34,Korean,toronto,ON,"606 Sherbourne Street Ground Level Toronto, ON M4X Canada"
Gyubee Japanese Grill - Bloor,$$$,4.2 ,317,Barbeque,toronto,ON,"335 Bloor Street W Toronto, ON M5S 1W7 Canada"
