restaurant_name,price_range,rating,total_reviews,category,location,province,address
Le Cochon Dingue,$$,4.0 ,48,French,quebec,QC,"1550 Boulevard Lebourgneuf Quebec City, QC G2K 2M4 Canada"
Restaurant Wong,$$,3.4 ,43,Cantonese,quebec,QC,"19 Rue de Buade Quebec City, QC G1R 3Z9 Canada"
Restaurant Nek8arre,$$$,4.0 ,3,Restaurants,quebec,QC,"Site Traditionnel Huron 575, Rue Chef-Stanislas-Koska Wendake, QC G0A 4V0 Canada"
Bachir,$,4.5 ,42,Lebanese,quebec,QC,"56 Boulevard René Lévesque Ouest Quebec City, QC G1R 2A4 Canada"
Matto,$$$,4.2 ,112,Italian,quebec,QC,"71 Rue Saint-Pierre Quebec City, QC G1K 4A5 Canada"
Ciel! Bistro-bar tournant,$$$,4.2 ,110,French,quebec,QC,"1225 Cours Du Général De Montcalm Quebec City, QC G1R 4W6 Canada"
Fanamanga,$$,4.2 ,15,Comic Books,quebec,QC,"650 rue Saint-Joseph Quebec City, QC G1K 3B9 Canada"
Bügel fabrique de bagels,$$,4.1 ,85,Breakfast & Brunch,quebec,QC,"164 rue Crémazie Ouest Quebec City, QC G1R 1X7 Canada"
Archibald,$$,4.3 ,6,Seafood,quebec,QC,"40 Rue du Marché-Champlain Quebec City, QC G1K 4H3 Canada"
Bati Bassac,$$,4.0 ,34,Thai,quebec,QC,"125 Rue Saint-Joseph E Quebec City, QC G1K 3A8 Canada"
Le Café du Monde,$$,3.6 ,92,French,quebec,QC,"84 Rue Dalhousie Quebec City, QC G1K 4B2 Canada"
Archibald Microbrasserie,$$,4.0 ,21,Breweries,quebec,QC,"1021 Boulevard Du Lac Lac-Beauport, QC G3B 0X1 Canada"
La Boîte à Pain,$,4.3 ,103,Bakeries,quebec,QC,"289 Rue Saint-Joseph Est Quebec City, QC G1K 3B1 Canada"
Patente et Machin,$$$,4.4 ,69,Canadian (New),quebec,QC,"82 Rue Saint-Joseph O Quebec City, QC G1K 1W9 Canada"
Laurie Raphaël,$$$$,4.5 ,37,French,quebec,QC,"117 Rue Dalhousie Quebec City, QC G1K 9C8 Canada"
Le Croque Délice,$,3.8 ,4,Fast Food,quebec,QC,"2244, Boul Bastien Quebec City, QC G2B 1B6 Canada"
La Girolle,$$,4.6 ,11,French,quebec,QC,"1384 Chemin Sainte-Foy Quebec City, QC G1S 2N6 Canada"
Nina Pizza Napolitaine,$$,4.4 ,68,Pizza,quebec,QC,"410 Rue Saint-Anselme Quebec City, QC G1K 5T2 Canada"
Sapristi,$$,4.2 ,135,Italian,quebec,QC,"24 Boulevard Champlain Quebec City, QC G1K 4H5 Canada"
La Galette Libanaise,$,4.3 ,41,Lebanese,quebec,QC,"641 Grande-Allée E Quebec City, QC G1R 2K4 Canada"
Kimono,$$,3.8 ,33,Japanese,quebec,QC,"1137 Route de l'Église Quebec City, QC G1V 3W4 Canada"
Aux Deux Violons Restaurant,$$,4.6 ,7,Mediterranean,quebec,QC,"310 Boulevard René Lévesque Ouest Quebec City, QC G1S 1R9 Canada"
Le Mexicain,$,4.5 ,6,Mexican,quebec,QC,"1000 de L'Oise Quebec City, QC G1H 2N4 Canada"
Restaurant Jardin du Vietnam,$$,4.3 ,4,Vietnamese,quebec,QC,"260 Rue Saint-Vallier O Quebec City, QC G1K 1K2 Canada"
Le Bouchon du Pied Bleu,$$$,4.7 ,21,French,quebec,QC,"179 Rue Saint-Vallier O Quebec City, QC G1K 1J9 Canada"
Lanterne Rouge,$$,3.9 ,10,Chinese,quebec,QC,"3280 Chemin Sainte-Foy Quebec City, QC G1X 1S1 Canada"
BEClub Bistro-Bar,$$,4.7 ,81,Canadian (New),quebec,QC,"17 Rue Saint-Stanislas Ville de Québec, QC G1R 4G7 Canada"
Le Batifol,$$,4.5 ,11,Canadian (New),quebec,QC,"995 Boulevard du Lac Lac-Beauport, QC G3B 0W6 Canada"
Délicatesses Tonkinoises,$$,4.2 ,17,Caterers,quebec,QC,"732, Rue Saint-Jean Quebec City, QC G1R 1P9 Canada"
Le Dijon,$$,3.8 ,5,French,quebec,QC,"7900 Rue du Marigot Quebec City, QC G1G 6T8 Canada"
La Bête,$$$,4.0 ,22,Steakhouses,quebec,QC,"2875 Boulevard Laurier Delta 3 Suite 170 Quebec City, QC G1V 2M2 Canada"
Bâton Rouge Steakhouse & Bar,$$,3.8 ,30,Seafood,quebec,QC,"2450 Boulevard Laurier Quebec City, QC G1V 2L1 Canada"
Restaurant Paya Thai,$$,4.0 ,4,Thai,quebec,QC,"6655 Boul Pierre-Bertrand Quebec City, QC G2K 1M1 Canada"
Café Roreke,$$,4.0 ,1,Canadian (New),quebec,QC,"40 Rue Morissette Quebec City, QC G2A 2K7 Canada"
Miyagi Bistro Thaï Et Sushi,$$,4.3 ,17,Sushi Bars,quebec,QC,"523, 3e Avenue Quebec City, QC G1L 2R5 Canada"
Cuisine Boulet,$,4.0 ,1,Canadian (New),quebec,QC,No data or change code
Charbon Steakhouse,$$$,3.9 ,43,Steakhouses,quebec,QC,"450 Rue de la Gare-du-Palais Quebec City, QC G1K 3X2 Canada"
Les Sales Gosses,$$$,4.3 ,14,Canadian (New),quebec,QC,"620 Rue Saint-Joseph E Quebec City, QC G1K 3B9 Canada"
Ô 6ième Sens,$$$,5.0 ,10,Canadian (New),quebec,QC,"1200 Av de Germain Des Prés Ste-Foy, QC G1V 3M7 Canada"
La Korrigane,$$,4.2 ,74,Brasseries,quebec,QC,"380 Rue Dorchester Quebec City, QC G1K 6A7 Canada"
Sésame,$$,3.6 ,17,Brasseries,quebec,QC,"5600 Boulevard Des Galeries Quebec City, QC G2K 2B4 Canada"
Le Bureau de Poste,$,3.9 ,102,Bars,quebec,QC,"296 Rue Saint Joseph E Quebec City, QC G1K 3B1 Canada"
La Planque,$$$,4.5 ,32,French,quebec,QC,"1027 3e Avenue Quebec City, QC G1L 2X3 Canada"
La Cuisine,$$,4.1 ,34,Canadian (New),quebec,QC,"205 Rue Saint-Vallier E Quebec City, QC G1K 3P2 Canada"
Portofino,$$$,3.8 ,157,Italian,quebec,QC,"54 Rue Couillard Quebec City, QC G1R 3T3 Canada"
Jack Saloon,$$,3.9 ,11,Burgers,quebec,QC,"1155 Rue de la Chevrotière Quebec City, QC G1R 3J6 Canada"
Poulet Portuguais,$$,4.4 ,14,Portuguese,quebec,QC,"203 Rue Street Jean Quebec City, QC G1R 1P1 Canada"
Thang Long Restaurant,$$,3.6 ,26,Vietnamese,quebec,QC,"869 Côte d'Abraham Quebec City, QC G1R 1A4 Canada"
Ben & Florentine,$$,4.1 ,8,Breakfast & Brunch,quebec,QC,"970 Rue des Ibis Quebec City, QC G3K 0S4 Canada"
Bistro la Cohue,$$$,4.7 ,11,Bistros,quebec,QC,"3440 Chemin des Quatre-Bourgeois Quebec City, QC G1W 4T3 Canada"
Hosaka-ya,$$$,4.1 ,16,Japanese,quebec,QC,"491, 3e Avenue Quebec City, QC G1L 2W2 Canada"
Shady,$,4.1 ,8,Lebanese,quebec,QC,"1680 Avenue Maufils Quebec City, QC G1J 2H7 Canada"
Griendel,$$,4.2 ,19,Brasseries,quebec,QC,"195 Rue Saint-Vallier O Quebec City, QC G1K 1J9 Canada"
Chez Victor,$$,4.4 ,69,Burgers,quebec,QC,"145 Rue Saint-Jean Quebec City, QC G1R 1N4 Canada"
La Cage Brasserie sportive,$$,4.6 ,7,Diners,quebec,QC,"837 Rue Clemenceau Quebec City, QC G1C 2K6 Canada"
Sushi Samurai,$$,3.1 ,53,Japanese,quebec,QC,"337 Rue Saint-Paul Quebec City, QC G1K Canada"
Café au Temps Perdu,$$,4.1 ,15,Modern European,quebec,QC,"867 Avenue Myrand Quebec City, QC G1V 2V8 Canada"
Café Les Cousins,$$,4.4 ,23,Cafes,quebec,QC,"1029 Avenue Cartier Ville de Québec, QC G1R 2S3 Canada"
Chez Boub,$$,4.3 ,8,Burgers,quebec,QC,"840 Boulevard du Lac Quebec City, QC G2M 0C9 Canada"
Le Varadero,$,4.4 ,11,Cuban,quebec,QC,"189 Rue Saint-Joseph Est Quebec City, QC G1K 3A8 Canada"
Khemara,$$,5.0 ,1,Cambodian,quebec,QC,"8405 Boulevard Henri-Bourassa Quebec City, QC G1G 4E1 Canada"
Au Grain de Folie,$$$,5.0 ,7,French,quebec,QC,"2286 Chemin du Fleuve Levis, QC G6W 1X9 Canada"
Allô Mon Coco,$$,4.1 ,43,Breakfast & Brunch,quebec,QC,"2700, boulevard Laurier, suite 0508 suite 0508 Entrée 3, Laurier Quebec City, QC G1V 2L8 Canada"
Sushi Kumi,$$,3.3 ,15,Sushi Bars,quebec,QC,"101-815 Boulevard Lebourgneuf Quebec City, QC G2J 0C1 Canada"
Paillard,$$,4.4 ,11,Bakeries,quebec,QC,"4141 Boulevard de l'Auvergne Quebec City, QC G2C 2B6 Canada"
Chez Greco,$$,3.7 ,10,Greek,quebec,QC,"2960 Boulevard Laurier Quebec City, QC G1V 4S1 Canada"
Chez Mai,$,3.7 ,18,Vietnamese,quebec,QC,"2750 Ch Ste-Foy Quebec City, QC G1V 1V6 Canada"
Le Grand Bourg,$$$,4.3 ,3,Seafood,quebec,QC,"8500 Boulevard Henri-Bourassa Quebec City, QC G1G 5X1 Canada"
District Saint-Joseph,$$$,4.1 ,7,Music Venues,quebec,QC,"240 Rue Saint-Joseph Est Quebec City, QC G1K 3A9 Canada"
La Revanche,$$,4.6 ,19,Cafes,quebec,QC,"585 Charest E Quebec City, QC G1K 3J2 Canada"
Table,$$$,3.9 ,29,Breakfast & Brunch,quebec,QC,"395 Rue de la Couronne Quebec City, QC G1K 7X4 Canada"
Phô Tonkinoise,$,3.2 ,18,Soup,quebec,QC,"2383 Chemin Sainte-Foy Quebec City, QC G1V 1T1 Canada"
Casse-Crêpe Breton,$$,3.3 ,336,Creperies,quebec,QC,"1136 Rue Saint-Jean Quebec City, QC G1R 1S4 Canada"
Louis Hebert,$$$,4.3 ,49,French,quebec,QC,"668 Grande-Allee Est Quebec City, QC G1R 2K5 Canada"
Les Copines Cuisinent,$$,4.0 ,2,French,quebec,QC,"1566 Rue Emerson Val-Bélair, QC G3K 2R5 Canada"
Bistro Le Veravin,$$,4.0 ,28,French,quebec,QC,"233, Rue St-Paul Quebec City, QC G1K 3W3 Canada"
Baguette & Chocolat,$,4.1 ,76,Cafes,quebec,QC,"36 Côte de la Fabrique Quebec City, QC G1R 3V3 Canada"
La Grolla,$$$$,4.1 ,32,Fondue,quebec,QC,"815 Côte d'Abraham Quebec City, QC G1R 1A4 Canada"
La Piazzetta,$$,4.1 ,25,Pizza,quebec,QC,"1191 Avenue Cartier Quebec City, QC G1R 2S9 Canada"
Les Maltcommodes,$$,3.8 ,6,Brasseries,quebec,QC,"3333 Rue du Carrefour Quebec City, QC G1C 5R9 Canada"
La Maison Smith,$,4.2 ,79,Coffee & Tea,quebec,QC,"9 Rue des Jardins Quebec City, QC G1R 4L4 Canada"
Brûlerie Saint-Roch,$,4.1 ,26,Cafes,quebec,QC,"375 Rue Saint Joseph E Quebec City, QC G1K 3B3 Canada"
Cosmos,$$$,4.1 ,11,Salad,quebec,QC,"5700 Boulevard des Galeries Local 103 Quebec City, QC G2K 2H6 Canada"
La Pizz,$$,4.0 ,65,Italian,quebec,QC,"3A Place Royale Quebec City, QC G1K 4G3 Canada"
Kalimera,$$,4.4 ,18,Breakfast & Brunch,quebec,QC,"577, Boulevard Charest O Quebec City, QC G1N 2B6 Canada"
Dixie Lee Charlesbourg,$$,4.5 ,2,Canadian (New),quebec,QC,"1279 Boulevard Louis-XIV Quebec City, QC G2L 1M1 Canada"
Dixie Lee Charlesbourg,$$,4.5 ,2,Canadian (New),quebec,QC,"1279 Boulevard Louis-XIV Quebec City, QC G2L 1M1 Canada"
La Queue de Veau,$$,4.4 ,5,Brasseries,quebec,QC,"380 Boul Charest E Quebec City, QC G1K 3H4 Canada"
Restaurant Le Maizerets,$$,4.6 ,5,Pizza,quebec,QC,"2006, chemin de la Canardière Quebec City, QC G1J 4R9 Canada"
Paris Grill,$$$,4.1 ,32,French,quebec,QC,"2820 Boulevard Laurier Quebec City, QC G1V 0C1 Canada"
Le Manoir Sainte-Foy,$$$,4.2 ,21,Italian,quebec,QC,"3077 Chemin Saint-Louis Quebec City, QC G1W 1R6 Canada"
Chez Ashton,$,3.6 ,77,Burgers,quebec,QC,"54 Côte du Palais Quebec City, QC G1R 4H8 Canada"
Saveurs des Continents,$$,2.8 ,24,Buffets,quebec,QC,"4250 1ère Avenue Local 26 Quebec City, QC G1H 2S5 Canada"
Chez le-An,$$,3.5 ,4,Vietnamese,quebec,QC,"1906 Boulevard Bastien Quebec City, QC G2B 1C1 Canada"
Rascal,$$,4.0 ,5,Barbeque,quebec,QC,"5050 Boulevard Wilfrid-Hamel Quebec City, QC G2E 5X5 Canada"
Maelstrøm Saint-Roch,$,4.1 ,16,Cocktail Bars,quebec,QC,"181 Rue Saint-Vallier Est Quebec City, QC G1K 3P2 Canada"
Soupe et Cie,$$,4.0 ,41,Soup,quebec,QC,"522 3e Avenue Quebec City, QC G1L 2W3 Canada"
Côtes à Côtes Resto-Grill,$$,3.4 ,77,French,quebec,QC,"32 Rue du Marché-Champlain Quebec City, QC G1K 4H3 Canada"
