restaurant_name,price_range,rating,total_reviews,category,location,province,address
The Wine Cellar/Steakhouse @ the Glynmill Inn,$$$,2.7 ,3,Seafood,corner-brook,NL,"1 Cobb Lane Corner Brook, NL A2H 2V3 Canada"
Harbor Grounds,$,4.4 ,10,Coffee & Tea,corner-brook,NL,"9 Humber Road Corner Brook, NL A2H 1E2 Canada"
Ji Wen Garden,$$,3.9 ,7,Chinese,corner-brook,NL,"82 West Street Corner Brook, NL A2H 2Z3 Canada"
Newfound Sushi,$$,4.3 ,19,Japanese,corner-brook,NL,"117 Broadway Corner Brook, NL A2H 4B4 Canada"
The Carriage Room at the Glynmill Inn,$$,3.0 ,4,Breakfast & Brunch,corner-brook,NL,"1b Cobb Ln Corner Brook, NL A2H 2X3 Canada"
Brewed On Bernard,$,3.8 ,6,Cafes,corner-brook,NL,"93 Mount Bernard Ave Corner Brook, NL A2H 5G3 Canada"
Sorrento Pizza Pasta & Grill,$$,3.1 ,11,Italian,corner-brook,NL,"18 Park Street Corner Brook, NL A2H 2W9 Canada"
Pho Vietnam,$,4.1 ,15,Vietnamese,corner-brook,NL,"26 Caribou Road Corner Brook, NL A2H 4W7 Canada"
Mamateek Restaurant & Pub,$$,3.3 ,4,American (Traditional),corner-brook,NL,"93 Maple Valley Rd Corner Brook, NL A2H Canada"
