Restaurant Name,Rating,Category,Address,,,,,,
Rexall Drug Store (Princess St),4.2,Home & Personal Care,1036 Princess Street,Kingston,ON,K7L,1H2,,
The Body Shop (945 Gardiners Rd),New,Personal care,945 Gardiners Rd,Kingston,ON,K7M,7H4,,
35326 Petro-Canada (1586 Centennial Drive),4.9,Everyday Essentials,1586 Centennial Drive,Kingston,ON,K7M,,,
Burger King (1093 Midland Ave),4.5,Sandwich,1093 Midland Avenue,Kingston,ON,K7P,2X8,,
Crossroads Country Store,New,Pizza,2280 Sydenham Rd,Kingston,ON,K0H,1M0,,
Beavertails (Kingston),4.2,Desserts,20 Market Street,Kingston,ON,K7L,,,
East Side Mario's (Kingston),4.5,Italian,774 Gardiners Rd,Kingston,ON,K7M,,,
Ghost Kitchen Brands (Bath Rd),4.4,Desserts,1718 Bath Rd,Kingston,ON,K7M,,,
Sima Sushi,4.9,Japanese,66 Princess St,Kingston,ON,K7L,1A5,,
241 Pizza (Kingston),4.5,Pizza,294 Princess St,Kingston,ON,K7L,,,
Maki sushi & noodle,4.8,Japanese: Sushi,2-1218 Hwy 15,Kingston,ON,K7K,,,
Akira Restaurant,4.5,Asian,83 Aberfoyle Rd Kingston,,ON,K7M,,,
Sushiya Zen,4.8,Japanese,49 Princess St,Kingston,ON,K7K,,,
FIVE GUYS GARDINERS (ON-1562),4.7,Burgers,770 Gardiners Rd,Kingston,ON,K7M,3X9,,
Melt&Grill,4.6,Sandwiches,292 Princess St,Kingston,ON,K7L,,,
Harvey's (Norwest Road),4.6,Burgers,830 Norwest Road,Kingston,ON,K7P,,,
Beavertails  (159 Division St),New,Desserts,159 Division St.,Kingston,ON,K7L3M6,,,
Saigon Delights (Division St),4.9,Vietnamese,217 Division St Kingston,Ontario K7k 3z2,ON,,,,
Little Caesars (507 Princess Street),4.5,Pizza,507 Princess Street,Kingston,ON,K7K,,,
Izumo Sushi,4.7,Sushi,499 Princess St,Kingston,ON,K7L,,,
Apsara Angkor Cuisine Restaurant,4.5,Thai,189 Ontario Street,Kingston,ON,K7L,2Y7,,
Popeyes Louisiana Kitchen (96 Innovation Dr),4.7,American,96 Innovation Dr,Kingston,ON,K7K,,,
KFC (29 Warne Crescent),4.4,American,29 Warne Crescent,Kingston,ON,K7K,5A6,,
Pizza Studio (Kingston),4.6,Pizza,358 Princess St,Kingston,ON,K7L,,,
Pizza Pizza (414 Princess),4.1,Chicken Strips,414 Princess St.,Kingston,ON,K7L,,,
