Restaurant Name,Rating,Category,Address
Buffalo Wild Wings (4536 I-75 Business Spur),New,wings,"4536 I-75 Business Spur, Sault Ste. Marie, MI 49783"
Buddy V's Cake Slice (3642 West 12 Mile Road),New,Desserts,"3642 West 12 Mile Road, Dafter, MI 49724"
