restaurant_name,price_range,rating,total_reviews,category,location,province,address
The Fish Counter,$$,4.4,350,Fish & Chips,vancouver,BC,"3825 Main Street Vancouver, BC V5V 3P2 Canada"
Suika,$$,4.1,520,Japanese,vancouver,BC,"1626 W Broadway Vancouver, BC V6J 1X6 Canada"
Hei Hei Rice Roll,$$,4.3,83,Chinese,vancouver,BC,"2430-8260 Westminster Highway Richmond, BC V6X 1A7 Canada"
The Mackenzie Room,$$$$,4.5,182,Canadian (New),vancouver,BC,"415 Powell Street Vancouver, BC V6A 1G7 Canada"
La Belle Patate,$$,4.1,544,Fast Food,vancouver,BC,"1215 Davie Street Vancouver, BC V6E 1N4 Canada"
La Belle Patate,$$,4.1,544,Fast Food,vancouver,BC,"1215 Esquimalt Road Victoria, BC V9A 3P1 Canada"
Burgoo Bistros,$$,3.8,497,Comfort Food,vancouver,BC,"3096 Main Street Vancouver, BC V5T 3G5 Canada"
Elisa,$$$$,4.2,194,Steakhouses,vancouver,BC,"1109 Hamilton Street Vancouver, BC V6B 5P6 Canada"
St Lawrence Restaurant,$$$,4.4,140,French,vancouver,BC,"269 Powell Street Vancouver, BC V6A 1G3 Canada"
Laksa King,$$,3.8,207,Burmese,vancouver,BC,"2546 E Hastings Street Vancouver, BC V5K 1Z3 Canada"
Ramen Danbo,$$,4.4,580,Ramen,vancouver,BC,"1333 Robson Street Vancouver, BC V6E 2B1 Canada"
Ramen Danbo,$$,4.4,580,Ramen,vancouver,BC,"1833 W 4th Avenue Vancouver, BC V6J 1M4 Canada"
Holy Chow,$$,4.1,44,Asian Fusion,vancouver,BC,"433 W Pender Street Vancouver, BC V6B 1B2 Canada"
Fritz European Fry House,$,4.2,807,Fast Food,vancouver,BC,"718 Davie Street Vancouver, BC V6Z 1B6 Canada"
Go Fish Ocean Emporium,$$,3.9,502,Seafood,vancouver,BC,"1505 W 1st Avenue Vancouver, BC V6J 1E8 Canada"
The Red Accordion,$$,4.7,72,Cocktail Bars,vancouver,BC,"1616 Alberni Street Vancouver, BC V6G 1A6 Canada"
