,Category,Province,Latitude,Rating,Sentiment_score,Sentiment
0,41,0,53.5458777,5.0,0.9607,1
1,41,0,53.5458777,2.0,0.1966,0
2,41,0,53.5458777,3.0,0.8198,1
3,41,0,53.5458777,5.0,0.9287,1
4,41,0,53.5458777,5.0,0.5613,1
5,17,0,53.5207809,3.0,-0.4257,0
6,17,0,53.5207809,4.0,0.4927,0
7,17,0,53.5207809,5.0,0.9833,1
8,17,0,53.5207809,1.0,-0.2865,0
9,17,0,53.5207809,1.0,0.0,0
10,2,0,53.5456285,1.0,-0.8945,0
11,2,0,53.5456285,3.0,0.8934,1
12,2,0,53.5456285,4.0,0.9798,1
13,2,0,53.5456285,2.0,-0.5584,0
14,2,0,53.5456285,4.0,-0.2263,0
15,2,0,53.5999637,5.0,0.2263,0
16,2,0,53.5999637,1.0,-0.8867,0
17,2,0,53.5999637,2.0,-0.8457,0
18,2,0,53.5999637,5.0,0.9497,1
19,2,0,53.5999637,4.0,0.9529,1
20,9,0,53.5515995,5.0,0.9877,1
21,9,0,53.5515995,5.0,0.9761,1
22,9,0,53.5515995,5.0,0.4404,0
23,9,0,53.5515995,5.0,0.9273,1
24,9,0,53.5515995,1.0,-0.9511,0
25,41,0,53.5177223,3.0,-0.5627,0
26,41,0,53.5177223,5.0,0.765,1
27,41,0,53.5177223,1.0,-0.929,0
28,41,0,53.5177223,5.0,0.9419,1
29,41,0,53.5177223,1.0,-0.2928,0
30,17,0,53.5458168,5.0,0.933,1
31,17,0,53.5458168,2.0,-0.8248,0
32,17,0,53.5458168,5.0,0.9802,1
33,17,0,53.5458168,5.0,0.8091,1
34,17,0,53.5458168,4.0,0.9022,1
35,14,0,53.545992,5.0,0.9825,1
36,14,0,53.545992,5.0,0.8979,1
37,14,0,53.545992,5.0,0.9508,1
38,14,0,53.545992,5.0,0.2514,0
39,14,0,53.545992,5.0,0.9359,1
40,14,0,53.5412496,5.0,0.9646,1
41,14,0,53.5412496,5.0,0.8625,1
42,14,0,53.5412496,3.0,0.9528,1
43,14,0,53.5412496,5.0,0.6924,1
44,14,0,53.5412496,3.0,0.9849,1
45,14,0,53.5400481,5.0,0.9741,1
46,14,0,53.5400481,2.0,-0.8838,0
